"Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","ROAS de resultados","Indicador de valor de resultado","Tasa de resultados","Valor de resultados",Frecuencia,"Costo por mil cuentas del centro de cuentas alcanzadas (USD)","CPM (costo por mil impresiones) (USD)",Espectadores,Visualizaciones,"Reproducciones de video","Costo por ThruPlay (USD)","Costo por reproducción de video de 3 segundos (USD)","Costo por reproducción de video continua de 2 segundos (USD)",ThruPlays,"Reproducciones de video de 3 segundos",unique_video_continuous_2_sec_watched_actions:video_view,"Reproducciones de video continuas de 2 segundos","Clics (todos)",shop_clicks,"Clics en Business AI","Clics en el enlace","Clics en la foto","Clics salientes","Clics salientes únicos","Costo por clic único (todos) (USD)","Costo por clic único en el enlace (USD)","CPC (costo por clic en el enlace) (USD)","CPC (todos) (USD)","CTR (porcentaje de clics en el enlace)","CTR (todos)","CTR único (porcentaje de clics en el enlace)","CTR único (todos)","Porcentaje de clics salientes","Porcentaje de clics salientes únicos","Clics únicos (todos)","Clics únicos en el enlace","Costo por clic saliente (USD)","Costo por clic saliente único (USD)","Costo por visita a la página de destino (USD)","Visitas a la página de destino del sitio web","Visitas al perfil de Instagram","Costo por Me gusta (USD)","Me gusta en Facebook","Seguimientos de Instagram","Comentarios de publicaciones","Costo por interacción con la página (USD)",instagram_upcoming_event_reminders_set,"Reacciones a publicaciones","Costo por interacción con una publicación (USD)",cost_per_action_type:group_join,"Costo por respuesta al evento (USD)",ar_effect_share:ar_effect_share,"Interacción con la página","Interacciones con la publicación","Registros de visitas","Respuestas a eventos",actions:group_join,"Veces que se compartieron las publicaciones","Veces que se guardaron las publicaciones","Contactos de mensajes",onsite_conversion_returning_messaging_connection,"Costo por mensaje entregado",cost_per_action_type:onsite_conversion.messaging_user_subscribed,actions:onsite_conversion.messaging_conversation_replied_7d,"Conversaciones con mensajes iniciadas","CTR de mensajes de marketing","Mensajes entregados","Mensajes de marketing leídos","Costo por contacto de mensajes (USD)"," (USD)",cost_per_onsite_conversion_returning_messaging_connection,"Costo por conversación con mensajes iniciada (USD)",actions:onsite_conversion.messaging_welcome_message_view,actions:onsite_conversion.messaging_user_subscribed,"Nuevos contactos de mensajes",actions:onsite_conversion.messaging_user_call_placed,actions:click_to_call_native_call_placed,actions:click_to_call_callback_request_submitted,Bloqueos,actions:click_to_call_native_20s_call_connect,actions:click_to_call_native_60s_call_connect,actions:onsite_conversion.messaging_20s_call_connect,actions:onsite_conversion.messaging_60s_call_connect,"Porcentaje de reproducciones de video de 3 segundos por impresiones","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Tiempo promedio de reproducción del video","Entrega del conjunto de anuncios","Fecha de creación","Fecha de última edición","Inicio del informe",Inicio,"Fin del informe",Objetivo,"Identificador de la campaña","Nombre de la cuenta","Identificador del anuncio","Identificador del conjunto de anuncios","Identificador de la cuenta",url_tags,instant_experience_element_reach:instant_experience_element_impression,"Impresiones de actualización automática",instant_experience_element_impressions:instant_experience_element_impression,"Impresiones totales (incluye impresiones no válidas de tráfico no atribuible a personas)","Porcentaje de visualización de la experiencia instantánea","Tiempo de visualización de la experiencia instantánea","Costo por mejora de recuerdo del anuncio (USD)","Índice de mejora de recuerdo del anuncio","Mejora de recuerdo del anuncio","Clics para iniciar la experiencia instantánea","Clics para abrir la experiencia instantánea","Clics salientes de experiencia instantánea","Porcentaje de compras por clics en el enlace","Porcentaje de compras por visitas a la página de destino","Porcentaje de resultados por clics en el enlace","Porcentaje de visitas a la página de destino por clics en el enlace","Costo por retención de día 2 en la app para celulares (USD)","Costo por retención de día 7 en la app para celulares (USD)","Retención de día 2 en la app para celulares","Valor de conversión de compras promedio","Retención de día 7 en la app para celulares",CVR,Frecuencia,%,"Interacciones sin reproducciones mínimas","Sesion Exitosa","VTR (Thruplay)"
"[Buk] 20/09/2025 [3][Post diseño]FB [Tu garganta no tiene por qué sufrir el colapso 💜🍬Tu garganta no tiene por qué sufrir el colapso 💜🍬]",not_delivering,185,actions:post_engagement,0.02286486,50,Total,4.23,1529,1127,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-20T23:11:32-0500,-,-,-,"[Buk] Obj - Interacción  FB  [Humor empatia] - Octubre 2025",,,12.09941138,,1.356699,3.753327,2.766514,1127,1533,,,,,,,,,120,,0,,4,,,0.035546,,,0.03525,,7.848267,0,10.559006,,,119,,,,,,1,,,0,,0.022865,,181,0.022865,,,,185,185,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,not_delivering,2025-10-20,2025-10-20,2025-10-01,2025-10-01,2025-10-31,Interacción,120233354323870055,Buk,120234415997760055,120233354323920055,3327383120855148,,,0,,1527,0,0,0.2115,1.77462289,20,0,0,,0,0,,0,,,,,,,1.3566992,0,185,,0
"[Buk] 20/09/2025 [4][Post diseño] IG [Tu garganta no tiene por qué sufrir el colapso 💜🍬Tu garganta no tiene por qué sufrir el colapso 💜🍬]",not_delivering,139,actions:post_engagement,0.03798561,50,Total,5.28,1459,1049,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-01T10:03:54-0500,-,-,-,"[Buk] Obj - Interacción IG   [Humor empatia]  - Octubre 2025",,,9.52707334,,1.390848,5.033365,3.618917,1049,1460,,,,,,,,,2,,0,,,,,2.64,,,2.64,,0.13708,0,0.190658,,,2,,,,,,2,,,0,,0.037986,,139,0.037986,,,,139,139,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,not_delivering,2025-10-20,2025-10-20,2025-10-01,2025-10-01,2025-10-31,Interacción,120233354323870055,Buk,120234416029110055,120233354323890055,3327383120855148,,,0,,1459,0,0,0.264,1.90657769,20,0,0,,0,0,,0,,,,,,,1.39084843,0,139,,0
"[Buk] 23/09/2025 [5][Post diseño] IG [💡Tip Buk: agua, reposo y un caramelo que brinde esa sensación de frescura que pide tu garganta 😉]",not_delivering,145,actions:post_engagement,0.02110345,50,Total,3.06,1070,759,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-01T10:03:54-0500,-,-,-,"[Buk] Obj - Interacción IG   [Humor empatia]  - Octubre 2025",,,13.55140187,,1.40975,4.031621,2.859813,759,1070,,,,,,,,,10,,0,8,,8,8,0.306,0.3825,0.3825,0.306,0.747664,0.934579,1.054018,1.317523,0.747664,1.054018,10,8,0.3825,0.3825,,,1,,,0,,0.021103,,137,0.021103,,,,145,145,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,not_delivering,2025-10-24,2025-10-24,2025-10-01,2025-10-01,2025-10-31,Interacción,120233354323870055,Buk,120234621455540055,120233354323890055,3327383120855148,,,0,,1070,0,0,0.306,1.31752306,10,0,0,,0,0,1812.5,0,,,,,,,1.40974967,0,145,0,0
"[Buk] 21/10/2025 [4][Post Diseño] FB [¿Cuál eliges tú para sobrevivir a los gritos de esta noche? 👻]",not_delivering,68,actions:post_engagement,0.00014706,50,Total,0.01,126,120,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-09T01:18:52-0500,-,-,-,"[Buk] Obj - Interacción  FB - [Educativo Y producto] -Octubre 2025 - Copia",,,53.96825397,,1.05,0.083333,0.079365,114,131,121,0.000222,0.000147,,45,68,,,0,,0,,,,,0,,,0,,0,0,0,,,0,,,,,,0,,,0,,0.000147,,,0.000147,,,,68,68,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,53.968254,75,60,51,47,46,5,not_delivering,2025-10-24,2025-10-24,2025-10-01,2025-10-09,2025-10-31,Interacción,120233354323870055,Buk,120234621785340055,120233641980180055,3327383120855148,,,0,,126,0,0,0.01,0.83333333,1,0,0,,0,0,,0,,,,,,,1.05,0,46,,0.35714286
"[Buk] 23/09/2025 [5][Post diseño] FB [💡Tip Buk: agua, reposo y un caramelo que brinde esa sensación de frescura que pide tu garganta 😉]",not_delivering,5,actions:post_engagement,0,50,Total,0,19,19,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-20T23:11:32-0500,-,-,-,"[Buk] Obj - Interacción  FB  [Humor empatia] - Octubre 2025",,,26.31578947,,1,0,0,19,19,,,,,,,,,6,,0,1,1,,,0,0,0,0,5.263158,31.578947,5.263158,26.315789,,,5,1,,,,,0,,,0,,0,,3,0,,,,5,5,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,not_delivering,2025-10-24,2025-10-24,2025-10-01,2025-10-01,2025-10-31,Interacción,120233354323870055,Buk,120234621858840055,120233354323920055,3327383120855148,,,0,,19,0,0,0,5.26315789,1,0,0,,0,0,500,0,,,,,,,1,0,5,0,0
"[Buk] 07/09/2025 [2][Post diseño]FB [Para lo primero todavía no tenemos la solución 😅] - Copia",not_delivering,366,actions:post_engagement,0.01193989,1,Diario,4.37,5527,4547,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-27T11:13:47-0500,-,-,-,"[Buk] Obj - Interacción  FB - Octubre 2025 -",,,6.62203727,,1.215527,0.961073,0.790664,4546,5533,,,,,,,,,385,,0,1,15,,,0.01147,4.37,4.37,0.011351,0.018093,6.965804,0.021993,8.379151,,,381,1,,,,,0,,,0,2,0.01194,,340,0.01194,,,,366,366,,,,8,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,not_delivering,2025-10-27,2025-10-27,2025-10-01,2025-10-27,2025-10-31,Interacción,120234767927460055,Buk,120234767927440055,120234767927510055,3327383120855148,,,0,,5531,0,0,0.054625,1.7594018,80,0,0,,0,0,36600,0,,,,,,,1.21552672,0,366,0,0
"[Buk] 07/09/2025 [2][Post diseño] IG [Para lo primero todavía no tenemos la solución 😅] - Copia",not_delivering,235,actions:post_engagement,0.0187234,1,Diario,4.4,3279,2589,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-27T11:13:33-0500,-,-,-,"[Buk] Obj - Interacción IG   - Octubre 2025 - Copia",,,7.16681915,,1.266512,1.699498,1.341873,2589,3280,,,,,,,,,6,,0,1,,,,0.733333,4.4,4.4,0.733333,0.030497,0.182983,0.038625,0.23175,,,6,1,,,,,5,,,1,1,0.018723,,230,0.018723,,,,235,235,,,,1,2,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,not_delivering,2025-10-27,2025-10-27,2025-10-01,2025-10-27,2025-10-31,Interacción,120234767927460055,Buk,120234767927470055,120234767927450055,3327383120855148,,,0,,3280,0,0,0.14666667,1.15874855,30,0,0,,0,0,23500,0,,,,,,,1.26651217,0,235,0,0
"[Buk] 06/09/2025 [1][Reel] FB [Mientras llega el vuelo a Maldivas, me quedo con lo que sí puedo tener hoy:]",not_delivering,4093,actions:post_engagement,0.00106523,1,Diario,4.36,8231,7250,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-27T11:13:47-0500,-,-,-,"[Buk] Obj - Interacción  FB - Octubre 2025 - - Copia",,,49.72664318,,1.13531,0.601379,0.529705,6731,8102,7674,0.001388,0.001069,,3141,4079,,,27,,0,,,,,0.161481,,,0.161481,,0.328028,0,0.372414,,,27,,,,,,0,,,0,,0.001065,,14,0.001065,,,,4093,4093,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,49.556554,5224,3873,3388,3183,3128,4,not_delivering,2025-10-27,2025-10-27,2025-10-01,2025-10-27,2025-10-31,Interacción,120234767927460055,Buk,120234767927480055,120234767927490055,3327383120855148,,,0,,8235,0,0,0.0545,1.10344828,80,0,0,,0,0,,0,,,,,,,1.13531034,0,3142,,0.38160612
"[Buk] 06/09/2025 [1][Reel] IG [Mientras llega el vuelo a Maldivas, me quedo con lo que sí puedo tener hoy:]",not_delivering,2966,actions:post_engagement,0.00149697,1,Diario,4.44,5489,4919,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-27T11:13:32-0500,-,-,-,"[Buk] Obj - Interacción IG   - Octubre 2025 - Copia 2",,,54.03534341,,1.115877,0.902622,0.808891,4734,10428,5018,0.004955,0.001497,,896,2966,,,1,,0,,,,,4.44,,,4.44,,0.018218,0,0.020329,,,1,,,,,,1,,,0,,0.001497,,,0.001497,,,,2966,2966,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,54.035343,3979,2577,1452,950,898,6,not_delivering,2025-10-27,2025-10-27,2025-10-01,2025-10-27,2025-10-31,Interacción,120234767927460055,Buk,120234767927500055,120234767927430055,3327383120855148,,,0,,5489,0,0,0.03171429,2.84610693,140,0,0,,0,0,,0,,,,,,,1.11587721,0,898,,0.16323556
"[Buk] 23/10/2025 [1][Reel] IG [💡Tip Buk: agua, reposo y un caramelo que brinde esa sensación de frescura que pide tu garganta 😉]",not_delivering,,,,1,Diario,0,0,0,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,-,-,-,"[Buk] Obj - Interacción IG   - Octubre 2025 - Copia 3",,,,,0,0,0,0,0,,,,,,,,,0,,0,,,,,0,,,0,,0,0,0,,,0,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,not_delivering,2025-10-27,2025-10-27,2025-10-01,2025-10-27,2025-10-31,Interacción,120234767927460055,Buk,120234769039180055,120234769039170055,3327383120855148,,,0,,0,0,0,0,0,0,0,0,,0,0,,0,,,,,,,,,0,,
