"Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","ROAS de resultados","Indicador de valor de resultado","Tasa de resultados","Valor de resultados",Frecuencia,"Costo por mil cuentas del centro de cuentas alcanzadas (USD)","CPM (costo por mil impresiones) (USD)",Espectadores,Visualizaciones,"Reproducciones de video","Costo por ThruPlay (USD)","Costo por reproducción de video de 3 segundos (USD)","Costo por reproducción de video continua de 2 segundos (USD)",ThruPlays,"Reproducciones de video de 3 segundos",unique_video_continuous_2_sec_watched_actions:video_view,"Reproducciones de video continuas de 2 segundos","Clics (todos)",shop_clicks,"Clics en Business AI","Clics en el enlace","Clics en la foto","Clics salientes","Clics salientes únicos","Costo por clic único (todos) (USD)","Costo por clic único en el enlace (USD)","CPC (costo por clic en el enlace) (USD)","CPC (todos) (USD)","CTR (porcentaje de clics en el enlace)","CTR (todos)","CTR único (porcentaje de clics en el enlace)","CTR único (todos)","Porcentaje de clics salientes","Porcentaje de clics salientes únicos","Clics únicos (todos)","Clics únicos en el enlace","Costo por clic saliente (USD)","Costo por clic saliente único (USD)","Costo por visita a la página de destino (USD)","Visitas a la página de destino del sitio web","Visitas al perfil de Instagram","Costo por Me gusta (USD)","Me gusta en Facebook","Seguimientos de Instagram","Comentarios de publicaciones","Costo por interacción con la página (USD)",instagram_upcoming_event_reminders_set,"Reacciones a publicaciones","Costo por interacción con una publicación (USD)",cost_per_action_type:group_join,"Costo por respuesta al evento (USD)",ar_effect_share:ar_effect_share,"Interacción con la página","Interacciones con la publicación","Registros de visitas","Respuestas a eventos",actions:group_join,"Veces que se compartieron las publicaciones","Veces que se guardaron las publicaciones","Contactos de mensajes",onsite_conversion_returning_messaging_connection,"Costo por mensaje entregado",cost_per_action_type:onsite_conversion.messaging_user_subscribed,actions:onsite_conversion.messaging_conversation_replied_7d,"Conversaciones con mensajes iniciadas","CTR de mensajes de marketing","Mensajes entregados","Mensajes de marketing leídos","Costo por contacto de mensajes (USD)"," (USD)",cost_per_onsite_conversion_returning_messaging_connection,"Costo por conversación con mensajes iniciada (USD)",actions:onsite_conversion.messaging_welcome_message_view,actions:onsite_conversion.messaging_user_subscribed,"Nuevos contactos de mensajes",actions:onsite_conversion.messaging_user_call_placed,actions:click_to_call_native_call_placed,actions:click_to_call_callback_request_submitted,Bloqueos,actions:click_to_call_native_20s_call_connect,actions:click_to_call_native_60s_call_connect,actions:onsite_conversion.messaging_20s_call_connect,actions:onsite_conversion.messaging_60s_call_connect,"Porcentaje de reproducciones de video de 3 segundos por impresiones","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Tiempo promedio de reproducción del video","Entrega del conjunto de anuncios","Fecha de creación","Fecha de última edición","Inicio del informe",Inicio,"Fin del informe",Objetivo,"Identificador de la campaña","Nombre de la cuenta","Identificador del anuncio","Identificador del conjunto de anuncios","Identificador de la cuenta",url_tags,instant_experience_element_reach:instant_experience_element_impression,"Impresiones de actualización automática",instant_experience_element_impressions:instant_experience_element_impression,"Impresiones totales (incluye impresiones no válidas de tráfico no atribuible a personas)","Porcentaje de visualización de la experiencia instantánea","Tiempo de visualización de la experiencia instantánea","Costo por mejora de recuerdo del anuncio (USD)","Índice de mejora de recuerdo del anuncio","Mejora de recuerdo del anuncio","Clics para iniciar la experiencia instantánea","Clics para abrir la experiencia instantánea","Clics salientes de experiencia instantánea","Porcentaje de compras por clics en el enlace","Porcentaje de compras por visitas a la página de destino","Porcentaje de resultados por clics en el enlace","Porcentaje de visitas a la página de destino por clics en el enlace","Costo por retención de día 2 en la app para celulares (USD)","Costo por retención de día 7 en la app para celulares (USD)","Retención de día 2 en la app para celulares","Valor de conversión de compras promedio","Retención de día 7 en la app para celulares",CVR,Frecuencia,%,"Interacciones sin reproducciones mínimas","Sesion Exitosa","VTR (Thruplay)"
"[Buk] 3/11/2025 [3][Post Diseño] FB [Tomar agua al despertar ayuda a activar tu cuerpo y a cuidar tu garganta después de una noche de descanso.]",not_delivering,2675,actions:post_engagement,0.00930093,1,Diario,24.88,31659,19600,2025-11-30,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-05T10:28:22-0500,-,-,-,"[Buk] 1. Obj - Interacción FB   - Nov 2025",,,8.44941407,,1.615255,1.269388,0.785874,19600,31737,,,,,,,,,3086,,0,1,115,,,0.008225,24.88,24.88,0.008062,0.003159,9.747623,0.005102,15.433673,,,3025,1,,,,,0,,,0,5,0.009301,,2483,0.009301,,,,2675,2675,,,,68,3,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,not_delivering,2025-11-05,2025-11-05,2025-11-01,2025-11-05,2025-11-30,Interacción,120235087621140055,Buk,120235087621230055,120235087621280055,3327383120855148,,,0,,31653,0,0,0.04442857,2.85714286,560,0,0,,0,0,267500,0,,,,,,,1.6152551,0,2675,0,0
"[Buk] 3/11/2025 [3][Post Diseño] IG [Tomar agua al despertar ayuda a activar tu cuerpo y a cuidar tu garganta después de una noche de descanso.]",not_delivering,1293,actions:post_engagement,0.01919567,1,Diario,24.82,19651,13473,2025-11-30,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-05T10:27:36-0500,-,-,-,"[Buk] 1. Obj - Interacción IG   - Nov 2025",,,6.57981782,,1.458547,1.842203,1.26304,13473,19653,,,,,,,,,24,,0,,,,,1.034167,,,1.034167,,0.122131,0,0.178134,,,24,,,,,,25,,,1,,0.019196,,1272,0.019196,,,,1293,1293,,,,9,12,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,not_delivering,2025-11-05,2025-11-05,2025-11-01,2025-11-05,2025-11-30,Interacción,120235087621140055,Buk,120235087621260055,120235087621120055,3327383120855148,,,0,,19673,0,0,0.03760606,4.89868626,660,0,0,,0,0,,0,,,,,,,1.45854672,0,1293,,0
"[Buk] 5/11/2025 [3][Post secuencia] FB [💧 Evita los cambios bruscos de temperatura, hidrátate y no te excedas con las bebidas frías.]",not_delivering,2006,actions:post_engagement,0.02030907,3,Diario,40.74,43341,26767,2025-11-30,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-21T20:39:48-0500,-,-,-,"[Buk] 2. Obj - Interacción FB   - Nov 2025",,,4.6284119,,1.619195,1.522023,0.939988,26767,43427,,,,,,,,,2949,,0,27,1553,,,0.016096,1.508889,1.508889,0.013815,0.062297,6.804181,0.10087,9.455673,,,2531,27,,,,,1,40.74,1,0,,0.020299,,405,0.020309,,,,2007,2006,,,,9,12,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,not_delivering,2025-11-06,2025-11-06,2025-11-01,2025-11-06,2025-11-30,Interacción,120235087621140055,Buk,120235224633040055,120235224633020055,3327383120855148,,,0,,43338,0,0,0.032592,4.66992939,1250,0,0,,0,0,7429.62962963,0,,,,,,,1.61919528,0,2006,0,0
"[Buk] 5/11/2025 [2][Post secuencia] IG [💧 Evita los cambios bruscos de temperatura, hidrátate y no te excedas con las bebidas frías.]",not_delivering,823,actions:post_engagement,0.04116646,2,Diario,33.88,4843,3192,2025-11-30,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-13T13:50:08-0500,-,-,-,"[Buk] 2. Obj - Interacción IG   - Nov 2025",,,16.99359901,,1.517231,10.614035,6.995664,3192,4848,,,,,,,,,59,,0,44,,44,43,0.594386,0.787907,0.77,0.574237,0.908528,1.218253,1.347118,1.785714,0.908528,1.347118,57,43,0.77,0.787907,,,11,,,0,1,0.041166,,771,0.041166,,,,823,823,,,,2,5,,,0,,,1,0,0,0,,,,33.88,,,,,,,,,,,,,,,,,,00:00:00,not_delivering,2025-11-06,2025-11-13,2025-11-01,2025-11-06,2025-11-30,Interacción,120235087621140055,Buk,120235224645850055,120235224645840055,3327383120855148,,,0,,4849,0,0,0.1694,6.26566416,200,0,0,,0,0,1870.45454545,0,,,,,,,1.51723058,0,823,0,0
"[Buk] 07/11/2025 [3][Post ] IG [Calificando mis planes.]",not_delivering,688,actions:post_engagement,0.02449128,1,Diario,16.85,9125,4807,2025-11-30,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,-,-,-,"[Buk] 3. Obj - Interacción IG   - Nov 2025",,,7.53972603,,1.898273,3.505305,1.846575,4807,9140,,,,,,,,,53,,0,40,,40,39,0.324038,0.432051,0.42125,0.317925,0.438356,0.580822,0.811317,1.081756,0.438356,0.811317,52,39,0.42125,0.432051,,,11,,,0,,0.024491,,636,0.024491,,,,688,688,,,,5,7,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,not_delivering,2025-11-13,2025-11-13,2025-11-01,2025-11-13,2025-11-30,Interacción,120235087621140055,Buk,120235593330490055,120235593330480055,3327383120855148,,,0,,9127,0,0,0.07659091,4.57665904,220,0,0,,0,0,1720,0,,,,,,,1.89827335,0,688,0,0
"[Buk] 07/11/2025 [4][Post ] IG [03 Datazos]",not_delivering,457,actions:post_engagement,0.03700219,1,Diario,16.91,2871,2108,2025-11-30,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,-,-,-,"[Buk] 4. Obj - Interacción IG   - Nov 2025",,,15.91779868,,1.361954,8.021822,5.889934,2108,2870,,,,,,,,,18,,0,13,,12,11,0.994706,1.409167,1.300769,0.939444,0.452804,0.626959,0.56926,0.806452,0.417973,0.521822,17,12,1.409167,1.537273,,,7,,,0,,0.037002,,434,0.037002,,,,457,457,,,,,10,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,not_delivering,2025-11-13,2025-11-13,2025-11-01,2025-11-13,2025-11-30,Interacción,120235087621140055,Buk,120235593937470055,120235593937490055,3327383120855148,,,0,,2869,0,0,0.13007692,6.16698292,130,0,0,,0,0,3515.38461538,0,,,,,,,1.36195446,0,457,0,0
"[Buk] 5/11/2025 [3][Post secuencia] FB [💧 Evita los cambios bruscos de temperatura, hidrátate y no te excedas con las bebidas frías.]",not_delivering,1988,actions:post_engagement,0.00847586,1,Diario,16.85,18755,11093,2025-11-30,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-13T10:07:19-0500,-,-,-,"[Buk] 3. Obj - Interacción FB   - Nov 2025 - Copia",,,10.59984004,,1.690706,1.518976,0.898427,11093,18814,,,,,,,,,2178,,0,72,804,,,0.008704,0.247794,0.234028,0.007736,0.383898,11.612903,0.612999,17.452447,,,1936,68,,,,,1,,,0,3,0.008476,,1092,0.008476,,,,1988,1988,,,,12,5,1,,0,,1,1,0,0,0,16.85,16.85,,16.85,1,,1,,,,,,,,,,,,,,,00:00:00,not_delivering,2025-11-13,2025-11-13,2025-11-01,2025-11-13,2025-11-30,Interacción,120235087621140055,Buk,120235594958940055,120235594958930055,3327383120855148,,,0,,18752,0,0,0.03008929,5.04822861,560,0,0,,0,0,2761.11111111,0,,,,,,,1.69070585,0,1988,0,0
"[Buk] 10/11/2025 [4][Post secuencia] FB [💧 Evita los cambios bruscos de temperatura, hidrátate y no te excedas con las bebidas frías.]",not_delivering,1273,actions:post_engagement,0.01328358,1,Diario,16.91,18061,14046,2025-11-30,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-13T10:08:30-0500,-,-,-,"[Buk] 4. Obj - Interacción FB   - Nov 2025",,,7.04833619,,1.285847,1.203901,0.936272,14046,18100,,,,,,,,,1489,,0,3,1162,,,0.012772,5.636667,5.636667,0.011357,0.01661,8.244283,0.021358,9.426171,,,1324,3,,,,,0,,,0,,0.013284,,95,0.013284,,,,1273,1273,,,,7,6,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,not_delivering,2025-11-13,2025-11-13,2025-11-01,2025-11-13,2025-11-30,Interacción,120235087621140055,Buk,120235595023510055,120235595023520055,3327383120855148,,,0,,18055,0,0,0.02225,5.41079311,760,0,0,,0,0,42433.33333333,0,,,,,,,1.2858465,0,1273,0,0
"[Buk] 14/11/2025 [4][Reel] FB [Ese microsegundo]",not_delivering,16090,actions:post_engagement,0.00189248,3,Diario,30.45,22484,16846,2025-11-30,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-16T15:37:24-0500,-,-,-,"[Buk] 5. Obj - Interacción FB   - Nov 2025",,,71.56199964,,1.334679,1.807551,1.354296,16469,23608,21921,0.002803,0.001931,,10865,15771,,,376,,0,272,,2,2,0.083425,0.112778,0.111949,0.080984,1.209749,1.6723,1.602754,2.166686,0.008895,0.011872,365,270,15.225,15.225,,,0,,,0,,0.001892,,41,0.001892,,,,16090,16090,,,,6,,2,,0,,,2,0,0,0,15.225,15.225,,15.225,,,2,,,,2,,,,,70.143213,15220,12859,11635,11028,10874,9,not_delivering,2025-11-16,2025-11-16,2025-11-01,2025-11-16,2025-11-30,Interacción,120235087621140055,Buk,120235747025990055,120235747025980055,3327383120855148,,,0,,22490,0,0,0.03713415,4.86762436,820,0,0,,0,0,5915.44117647,0,,,,,,,1.33467886,0,11193,0,0.48323252
"[Buk] 15/11/2025 [6][Reel] FB [Shakira]",inactive,253,actions:post_engagement,0.01988142,1,Diario,5.03,2795,1995,2025-11-30,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-16T15:38:27-0500,-,-,-,"[Buk] 6. Obj - Interacción FB   - Nov 2025",,,9.05187835,,1.401003,2.521303,1.799642,1995,2799,,,,,,,,,202,,0,7,,,,0.025025,0.718571,0.718571,0.024901,0.250447,7.227191,0.350877,10.075188,,,201,7,,,,,0,,,0,,0.019881,,246,0.019881,,,,253,253,,,,,,,,0,,,,0,0,0,,,,,3,,,,,,,,,,,,,,,,,00:00:00,not_delivering,2025-11-16,2025-11-21,2025-11-01,2025-11-16,2025-11-30,Interacción,120235087621140055,Buk,120235747038500055,120235747038490055,3327383120855148,,,0,,2793,0,0,0.02958824,8.52130326,170,0,0,,0,0,3614.28571429,0,,,,,,,1.40100251,0,253,0,0
