"Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","ROAS de resultados","Indicador de valor de resultado","Tasa de resultados","Valor de resultados",Frecuencia,"Costo por mil cuentas del centro de cuentas alcanzadas (USD)","CPM (costo por mil impresiones) (USD)",Espectadores,Visualizaciones,"Reproducciones de video","Costo por ThruPlay (USD)","Costo por reproducción de video de 3 segundos (USD)","Costo por reproducción de video continua de 2 segundos (USD)",ThruPlays,"Reproducciones de video de 3 segundos",unique_video_continuous_2_sec_watched_actions:video_view,"Reproducciones de video continuas de 2 segundos","Clics (todos)",shop_clicks,"Clics en Business AI","Clics en el enlace","Clics en la foto","Clics salientes","Clics salientes únicos","Costo por clic único (todos) (USD)","Costo por clic único en el enlace (USD)","CPC (costo por clic en el enlace) (USD)","CPC (todos) (USD)","CTR (porcentaje de clics en el enlace)","CTR (todos)","CTR único (porcentaje de clics en el enlace)","CTR único (todos)","Porcentaje de clics salientes","Porcentaje de clics salientes únicos","Clics únicos (todos)","Clics únicos en el enlace","Costo por clic saliente (USD)","Costo por clic saliente único (USD)","Costo por visita a la página de destino (USD)","Visitas a la página de destino del sitio web","Visitas al perfil de Instagram","Costo por Me gusta (USD)","Me gusta en Facebook","Seguimientos de Instagram","Comentarios de publicaciones","Costo por interacción con la página (USD)",instagram_upcoming_event_reminders_set,"Reacciones a publicaciones","Costo por interacción con una publicación (USD)",cost_per_action_type:group_join,"Costo por respuesta al evento (USD)",ar_effect_share:ar_effect_share,"Interacción con la página","Interacciones con la publicación","Registros de visitas","Respuestas a eventos",actions:group_join,"Veces que se compartieron las publicaciones","Veces que se guardaron las publicaciones","Contactos de mensajes",onsite_conversion_returning_messaging_connection,"Costo por mensaje entregado",cost_per_action_type:onsite_conversion.messaging_user_subscribed,actions:onsite_conversion.messaging_conversation_replied_7d,"Conversaciones con mensajes iniciadas","CTR de mensajes de marketing","Mensajes entregados","Mensajes de marketing leídos","Costo por contacto de mensajes (USD)"," (USD)",cost_per_onsite_conversion_returning_messaging_connection,"Costo por conversación con mensajes iniciada (USD)",actions:onsite_conversion.messaging_welcome_message_view,actions:onsite_conversion.messaging_user_subscribed,"Nuevos contactos de mensajes",actions:onsite_conversion.messaging_user_call_placed,actions:click_to_call_native_call_placed,actions:click_to_call_callback_request_submitted,Bloqueos,actions:click_to_call_native_20s_call_connect,actions:click_to_call_native_60s_call_connect,actions:onsite_conversion.messaging_20s_call_connect,actions:onsite_conversion.messaging_60s_call_connect,"Porcentaje de reproducciones de video de 3 segundos por impresiones","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Tiempo promedio de reproducción del video","Entrega del conjunto de anuncios","Fecha de creación","Fecha de última edición","Inicio del informe",Inicio,"Fin del informe",Objetivo,"Identificador de la campaña","Nombre de la cuenta","Identificador del anuncio","Identificador del conjunto de anuncios","Identificador de la cuenta",url_tags,instant_experience_element_reach:instant_experience_element_impression,"Impresiones de actualización automática",instant_experience_element_impressions:instant_experience_element_impression,"Impresiones totales (incluye impresiones no válidas de tráfico no atribuible a personas)","Porcentaje de visualización de la experiencia instantánea","Tiempo de visualización de la experiencia instantánea","Costo por mejora de recuerdo del anuncio (USD)","Índice de mejora de recuerdo del anuncio","Mejora de recuerdo del anuncio","Clics para iniciar la experiencia instantánea","Clics para abrir la experiencia instantánea","Clics salientes de experiencia instantánea","Porcentaje de compras por clics en el enlace","Porcentaje de compras por visitas a la página de destino","Porcentaje de resultados por clics en el enlace","Porcentaje de visitas a la página de destino por clics en el enlace","Costo por retención de día 2 en la app para celulares (USD)","Costo por retención de día 7 en la app para celulares (USD)","Retención de día 2 en la app para celulares","Valor de conversión de compras promedio","Retención de día 7 en la app para celulares",CVR,Frecuencia,%,"Interacciones sin reproducciones mínimas","Sesion Exitosa","VTR (Thruplay)"
"BUK - 1. 03/12- Carrusel - trend",not_delivering,21457,actions:post_engagement,0.0065559,7,Diario,140.67,282437,137858,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-12-16T20:20:33-0500,-,-,-,"[BUK] 1. Objt. Interacción - FB",,,7.59709245,,2.048753,1.020398,0.498058,137858,283197,,,,,,,,,33842,,0,1055,19442,,,0.005117,0.134741,0.133336,0.004157,0.373535,11.982141,0.757301,19.942259,,,27492,1044,,,,,0,23.445,6,0,4,0.006554,,914,0.006556,,,,21463,21457,,,,20,22,8,,0,,4,8,0,0,0,17.58375,17.58375,,17.58375,69,,8,,,,,,,,,,,,,,,00:00:00,not_delivering,2025-12-05,2025-12-05,2025-12-01,2025-12-05,2025-12-31,Interacción,120236788220160055,Buk,120236788246140055,120236788246130055,3327383120855148,,,0,,282527,0,0,0.0220832,4.62069666,6370,0,0,,0,0,2033.83886256,0,,,,,,,2.04875306,0,21457,0,0
"BUK - 1. 03/12- Carrusel - trend",not_delivering,7119,actions:post_engagement,0.02625931,10,Diario,186.94,197978,99820,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-12-16T20:20:26-0500,-,-,-,"[BUK] 1. Objt. Interacción - IG",,,3.59585408,,1.98335,1.872771,0.944246,99820,197975,,,,,,,,,2845,,0,2430,,2428,2332,0.068677,0.079346,0.07693,0.065708,1.227409,1.437028,2.360248,2.726908,1.226399,2.336205,2722,2356,0.076993,0.080163,,,405,,,6,1,0.026259,,4600,0.026259,,,,7119,7119,,,,65,23,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,not_delivering,2025-12-05,2025-12-05,2025-12-01,2025-12-05,2025-12-31,Interacción,120236788220160055,Buk,120236790306710055,120236790306700055,3327383120855148,,,0,,197988,0,0,0.02453281,7.63374073,7620,0,0,,0,0,292.96296296,0,,,,,,,1.98335003,0,7119,0,0
"BUK - 2. 05/12- Carrusel - trend",not_delivering,1478,actions:post_engagement,0.04125169,3,Diario,60.97,37415,23164,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-12-12T18:41:32-0500,-,-,-,"[BUK] 2. Objt. Interacción - IG",,,3.95028732,,1.615222,2.632102,1.62956,23164,37444,,,,,,,,,301,,0,270,,269,264,0.206678,0.226654,0.225815,0.202558,0.721636,0.80449,1.161285,1.273528,0.718963,1.1397,295,269,0.226654,0.230947,,,30,,,0,2,0.041252,,1188,0.041252,,,,1478,1478,,,,6,12,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,not_delivering,2025-12-11,2025-12-12,2025-12-01,2025-12-11,2025-12-31,Interacción,120236788220160055,Buk,120237237899250055,120237237899260055,3327383120855148,,,0,,37421,0,0,0.03464205,7.59799689,1760,0,0,,0,0,547.40740741,0,,,,,,,1.6152219,0,1478,0,0
"BUK - 3. 11/12- Post",not_delivering,1131,actions:post_engagement,0.05420866,3,Diario,61.31,10239,5223,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-12-11T14:58:42-0500,-,-,-,"[BUK] 3. Objt. Interacción - IG",,,11.04600059,,1.960368,11.738464,5.987889,5223,10269,,,,,,,,,9,,0,,,,,6.812222,,,6.812222,,0.087899,0,0.172315,,,9,,,,,,10,,,1,2,0.054209,,1104,0.054209,,,,1131,1131,,,,11,14,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,not_delivering,2025-12-11,2025-12-11,2025-12-01,2025-12-11,2025-12-31,Interacción,120236788220160055,Buk,120237237933880055,120237237933890055,3327383120855148,,,0,,10275,0,0,0.18032353,6.50966877,340,0,0,,0,0,,0,,,,,,,1.9603676,0,1131,,0
"BUK - 2. 05/12- Post",not_delivering,2104,actions:post_engagement,0.02894487,3,Diario,60.9,76884,35848,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-12-12T18:21:03-0500,-,-,-,"[BUK] 2. Objt. Interacción - FB",,,2.73659019,,2.144722,1.69884,0.792102,35848,76913,,,,,,,,,1965,,0,32,47,1,1,0.031424,1.903125,1.903125,0.030992,0.041621,2.555798,0.089266,5.406159,0.001301,0.00279,1938,32,60.9,60.9,,,0,30.45,2,0,4,0.028917,,2016,0.028945,,,,2106,2104,,,,2,3,,,0,,,,0,0,0,,,,,,,,,,,1,,,,,,,,,,,00:00:00,not_delivering,2025-12-11,2025-12-12,2025-12-01,2025-12-11,2025-12-31,Interacción,120236788220160055,Buk,120237238201580055,120237238201570055,3327383120855148,,,0,,76894,0,0,0.03364641,5.04909618,1810,0,0,,0,0,6575,0,,,,,,,2.14472216,0,2104,0,0
"BUK - 3. 11/12- Post",not_delivering,2416,actions:post_engagement,0.02511589,3,Diario,60.68,242303,172754,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-12-11T16:44:24-0500,-,-,-,"[BUK] 3. Objt. Interacción - FB",,,0.99709867,,1.40259,0.351251,0.25043,172697,242602,,,,,,,,,2291,,0,1598,,,,0.027126,0.038357,0.037972,0.026486,0.659505,0.94551,0.915753,1.294905,,,2237,1582,,,,,0,,,0,1,0.025116,,816,0.025116,,,,2416,2416,,,,1,,24,,0,,14,24,0,0,0,2.528333,2.528333,,2.528333,564,,24,,,,10,,,,,,,,,,,00:00:00,not_delivering,2025-12-11,2025-12-11,2025-12-01,2025-12-11,2025-12-31,Interacción,120236788220160055,Buk,120237240415500055,120237240415510055,3327383120855148,,,0,,242324,0,0,0.04243357,0.82776665,1430,0,0,,0,0,151.18898623,0,,,,,,,1.40258981,0,2416,0,0
"BUK - 4. 12/12- Sabemos que",not_delivering,1244,actions:post_engagement,0.03651929,3,Diario,45.43,15074,7239,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-12-16T20:19:11-0500,-,-,-,"[BUK] 4. Objt. Interacción - IG",,,8.25262041,,2.082332,6.275729,3.013799,7225,15076,,,,,,,,,100,,0,70,,,,0.463571,0.658406,0.649,0.4543,0.464376,0.663394,0.95317,1.353778,,,98,69,,,,,30,,,0,,0.036519,,1165,0.036519,,,,1244,1244,,,,2,7,1,,0,,,1,0,0,0,45.43,45.43,,45.43,,,1,,,,,,,,,,,,,,,00:00:00,not_delivering,2025-12-16,2025-12-16,2025-12-01,2025-12-16,2025-12-31,Interacción,120236788220160055,Buk,120237549049760055,120237549049770055,3327383120855148,,,0,,15093,0,0,0.10095556,6.21632822,450,0,0,,0,0,1777.14285714,0,,,,,,,2.08233181,0,1244,0,0
"BUK - 5. 15/12- Otaku",not_delivering,995,actions:post_engagement,0.04550754,3,Diario,45.28,21144,13012,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-12-16T20:20:12-0500,-,-,-,"[BUK] 5. Objt. Interacción - IG",,,4.70582671,,1.624962,3.479865,2.141506,13012,21144,,,,,,,,,165,,0,101,,,,0.281242,0.457374,0.448317,0.274424,0.477677,0.780363,0.760836,1.237319,,,161,99,,,,,66,,,2,2,0.045508,,829,0.045508,,,,995,995,,,,37,26,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,not_delivering,2025-12-16,2025-12-16,2025-12-01,2025-12-16,2025-12-31,Interacción,120236788220160055,Buk,120237549068250055,120237549068260055,3327383120855148,,,0,,21168,0,0,0.06377465,5.45650169,710,0,0,,0,0,985.14851485,0,,,,,,,1.62496157,0,995,0,0
"BUK - 6. 17/12- Asi es el Círculo",not_delivering,14964,actions:post_engagement,0.00222334,3,Diario,33.27,51102,34312,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-12-20T20:14:12-0500,-,-,-,"[BUK] 6. Objt. Interacción - IG",,,29.28261125,,1.489333,0.969632,0.651051,33179,60811,45638,0.006283,0.002227,,5295,14937,,,18,,0,,,,,1.848333,,,1.848333,,0.035224,0,0.05246,,,18,,,,,,17,,,0,,0.002223,,21,0.002223,,,,14964,14964,,,,,6,,,0,,,,0,0,0,,,,,,,,,,,,,,,,29.229776,20735,11741,7749,5498,5302,4,not_delivering,2025-12-20,2025-12-20,2025-12-01,2025-12-20,2025-12-31,Interacción,120236788220160055,Buk,120237793903870055,120237793903880055,3327383120855148,,,0,,51102,0,0,0.01638916,5.91629751,2030,0,0,,0,0,,0,,,,,,,1.48933318,0,5329,,0.1036163
"BUK - 7. 19/12- Gato cantor",not_delivering,29364,actions:post_engagement,0.0011303,3,Diario,33.19,53993,42506,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-12-20T20:15:52-0500,-,-,-,"[BUK] 7. Objt. Interacción - IG",,,54.38482766,,1.270244,0.780831,0.614709,42221,58418,51352,0.006092,0.001244,,5448,26683,,,95,,0,,,,,0.349368,,,0.349368,,0.175949,0,0.223498,,,95,,,,,,72,,,1,5,0.00113,,2522,0.00113,,,,29364,29364,,,,98,56,,,0,,,,0,0,0,,,,,,,,,,,,,,,,49.419369,11951,5461,3346,1213,1002,7,not_delivering,2025-12-20,2025-12-20,2025-12-01,2025-12-20,2025-12-31,Interacción,120236788220160055,Buk,120237793911090055,120237793911080055,3327383120855148,,,0,,53994,0,0,0.01148443,6.79904014,2890,0,0,,0,0,,0,,,,,,,1.2702442,0,3683,,0.10090197
