"Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","ROAS de resultados","Indicador de valor de resultado","Tasa de resultados","Valor de resultados",Frecuencia,"Costo por mil cuentas del centro de cuentas alcanzadas (USD)","CPM (costo por mil impresiones) (USD)",Espectadores,Visualizaciones,"Reproducciones de video","Costo por ThruPlay (USD)","Costo por reproducción de video de 3 segundos (USD)","Costo por reproducción de video continua de 2 segundos (USD)",ThruPlays,"Reproducciones de video de 3 segundos",unique_video_continuous_2_sec_watched_actions:video_view,"Reproducciones de video continuas de 2 segundos","Clics (todos)",shop_clicks,"Clics en Business AI","Clics en el enlace","Clics en la foto","Clics salientes","Clics salientes únicos","Costo por clic único (todos) (USD)","Costo por clic único en el enlace (USD)","CPC (costo por clic en el enlace) (USD)","CPC (todos) (USD)","CTR (porcentaje de clics en el enlace)","CTR (todos)","CTR único (porcentaje de clics en el enlace)","CTR único (todos)","Porcentaje de clics salientes","Porcentaje de clics salientes únicos","Clics únicos (todos)","Clics únicos en el enlace","Costo por clic saliente (USD)","Costo por clic saliente único (USD)","Costo por visita a la página de destino (USD)","Visitas a la página de destino del sitio web","Visitas al perfil de Instagram","Costo por Me gusta (USD)","Me gusta en Facebook","Seguimientos de Instagram","Comentarios de publicaciones","Costo por interacción con la página (USD)",instagram_upcoming_event_reminders_set,"Reacciones a publicaciones","Costo por interacción con una publicación (USD)",cost_per_action_type:group_join,"Costo por respuesta al evento (USD)",ar_effect_share:ar_effect_share,"Interacción con la página","Interacciones con la publicación","Registros de visitas","Respuestas a eventos",actions:group_join,"Veces que se compartieron las publicaciones","Veces que se guardaron las publicaciones","Contactos de mensajes",onsite_conversion_returning_messaging_connection,"Costo por mensaje entregado",cost_per_action_type:onsite_conversion.messaging_user_subscribed,actions:onsite_conversion.messaging_conversation_replied_7d,"Conversaciones con mensajes iniciadas","CTR de mensajes de marketing","Mensajes entregados","Mensajes de marketing leídos","Costo por contacto de mensajes (USD)"," (USD)",cost_per_onsite_conversion_returning_messaging_connection,"Costo por conversación con mensajes iniciada (USD)",actions:onsite_conversion.messaging_welcome_message_view,actions:onsite_conversion.messaging_user_subscribed,"Nuevos contactos de mensajes",actions:onsite_conversion.messaging_user_call_placed,actions:click_to_call_native_call_placed,actions:click_to_call_callback_request_submitted,Bloqueos,actions:click_to_call_native_20s_call_connect,actions:click_to_call_native_60s_call_connect,actions:onsite_conversion.messaging_20s_call_connect,actions:onsite_conversion.messaging_60s_call_connect,"Porcentaje de reproducciones de video de 3 segundos por impresiones","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Tiempo promedio de reproducción del video","Entrega del conjunto de anuncios","Fecha de creación","Fecha de última edición","Inicio del informe",Inicio,"Fin del informe",Objetivo,"Identificador de la campaña","Nombre de la cuenta","Identificador del anuncio","Identificador del conjunto de anuncios","Identificador de la cuenta",url_tags,instant_experience_element_reach:instant_experience_element_impression,"Impresiones de actualización automática",instant_experience_element_impressions:instant_experience_element_impression,"Impresiones totales (incluye impresiones no válidas de tráfico no atribuible a personas)","Porcentaje de visualización de la experiencia instantánea","Tiempo de visualización de la experiencia instantánea","Costo por mejora de recuerdo del anuncio (USD)","Índice de mejora de recuerdo del anuncio","Mejora de recuerdo del anuncio","Clics para iniciar la experiencia instantánea","Clics para abrir la experiencia instantánea","Clics salientes de experiencia instantánea","Porcentaje de compras por clics en el enlace","Porcentaje de compras por visitas a la página de destino","Porcentaje de resultados por clics en el enlace","Porcentaje de visitas a la página de destino por clics en el enlace","Costo por retención de día 2 en la app para celulares (USD)","Costo por retención de día 7 en la app para celulares (USD)","Retención de día 2 en la app para celulares","Valor de conversión de compras promedio","Retención de día 7 en la app para celulares",CVR,Frecuencia,%,"Interacciones sin reproducciones mínimas","Sesion Exitosa","VTR (Thruplay)"
"[BUK]  Reel - 3 ene 2026 - ¿Sientes que vas con lag y el resto en x2? 🐢🚀 No es tu internet, mano, es que te estás recalentando. 🔥 Métele su respectivo cooler con BUK y corre FINO. 💎❄️ Adiós carraspera. #SinLag #ModoFino #BukTeSalva #GamerLife #RefrescaTuRutina",not_delivering,39868,actions:post_engagement,0.00214508,10,Diario,85.52,92949,63268,2026-01-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-06T11:02:53-0500,-,-,-,"[BUK] 1. Objt. Interacción - IG",,,42.89233881,,1.469131,1.35171,0.920074,62275,105659,88130,0.007978,0.00216,,10719,39595,,,91,,0,,,,,0.950222,,,0.93978,,0.097903,0,0.142252,,,90,,,,,,92,,,1,20,0.002145,,224,0.002145,,,,39868,39868,,,,22,7,,,0,,,,0,0,0,,,,,,,,,,,1,,,,,42.598629,19146,10393,7731,6398,6132,7,not_delivering,2026-01-06,2026-01-06,2026-01-01,2026-01-06,2026-01-31,Interacción,120238431945640055,Buk,120238431954760055,120238431945710055,3327383120855148,,,0,,92945,0,0,0.01917489,7.04937725,4460,0,0,,0,0,,0,,,,,,,1.46913131,0,6405,,0.11532131
"[BUK] FB Reel - 3 de ene 2026 - ¿Sientes que vas con lag y el resto en x2? 🐢🚀 No es tu internet, mano, es que te estás recalentando. 🔥 Métele su respectivo cooler con BUK y corre FINO. 💎❄️ Adiós carraspera. #SinLag #ModoFino #BukTeSalva #GamerLife #RefrescaTuRutina",not_delivering,97779,actions:post_engagement,0.00084844,7,Diario,82.96,150603,97560,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-06T11:04:37-0500,-,-,-,"[BUK] 1. Objt. Interacción - FB",,,64.92500149,,1.543696,0.850349,0.550852,96859,164893,148170,0.003147,0.000856,,26359,96955,,,1365,,0,290,,,,0.06247,0.286069,0.286069,0.060777,0.192559,0.906356,0.297253,1.361214,,,1328,290,,,,,0,82.96,1,0,2,0.000848,,475,0.000848,,,,97780,97779,,,,2,55,,,0,,,,0,0,0,,,,,,,,,,,,,,,,64.377868,47155,25478,16040,11126,9935,10,not_delivering,2026-01-06,2026-01-06,2026-01-01,2026-01-06,2026-01-31,Interacción,120238431945640055,Buk,120238432039680055,120238431945770055,3327383120855148,,,0,,150622,0,0,0.01835398,4.63304633,4520,0,0,,0,0,33716.89655172,0,,,,,,,1.54369619,0,10759,0,0.17502307
"[BUK]  Reel - 7 ene 2026 - El Terror de ver peliculas",not_delivering,140965,actions:post_engagement,0.00041386,4.38,Diario,58.34,176002,138208,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-29T16:24:07-0500,-,-,-,"[BUK] 2. Objt. Interacción - FB",,,80.09283985,,1.273457,0.422117,0.331474,137328,187511,174761,0.000968,0.000416,,60287,140187,,,1789,,0,190,,,,0.03296,0.307053,0.307053,0.03261,0.107953,1.016466,0.137474,1.280678,,,1770,190,,,,,0,,,0,3,0.000414,,531,0.000414,,,,140965,140965,,,,1,53,,,0,,,,0,0,0,,,,,,,,,,,1,,,,,79.650799,96250,58802,30975,13063,8041,13,not_delivering,2026-01-12,2026-01-29,2026-01-01,2026-01-12,2026-01-31,Interacción,120238431945640055,Buk,120238673938500055,120238673938490055,3327383120855148,,,0,,176049,0,0,0.01648023,2.5613568,3540,0,0,,0,0,74192.10526316,0,,,,,,,1.2734574,0,8819,0,0.34253588
"[BUK]  Reel - 7 ene 2026 -  El Terror de ver peliculas",not_delivering,45598,actions:post_engagement,0.00087285,3,Diario,39.8,69249,56750,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-12T15:45:20-0500,-,-,-,"[BUK] 2. Objt. Interacción - IG",,,65.84643822,,1.220247,0.701322,0.574738,56560,75316,67966,0.002099,0.000879,,18965,45298,,,197,,0,50,,9,9,0.20203,0.812245,0.796,0.20203,0.072203,0.284481,0.086344,0.347137,0.012997,0.015859,197,49,4.422222,4.422222,,,138,,,0,4,0.000873,,237,0.000873,,,,45598,45598,,,,7,2,,,0,,,,0,0,0,,,,,,,,,,,,,,,,65.413219,28581,18412,9020,4193,3290,10,inactive,2026-01-12,2026-01-12,2026-01-01,2026-01-12,2026-01-31,Interacción,120238431945640055,Buk,120238675082340055,120238675082330055,3327383120855148,,,0,,69248,0,0,0.01913462,3.66519824,2080,0,0,,0,0,91196,0,,,,,,,1.2202467,0,3590,0,0.27386677
"[BUK]  Reel - 9 ene 2026 -  EL ENERO ETERNO",not_delivering,1717,actions:post_engagement,0.02333139,3,Diario,40.06,117271,88776,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-12T15:53:39-0500,-,-,-,"[BUK] 3. Objt. Interacción - FB",,,1.46413009,,1.320976,0.451248,0.341602,88776,117384,,,,,,,,,1599,,0,700,2,,,0.025647,0.057229,0.057229,0.025053,0.596908,1.363508,0.788501,1.759485,,,1562,700,,,,,1,,,0,6,0.023331,,1002,0.023331,,,,1717,1717,,,,7,,,,0,,,,0,0,0,,,,,,,,,,,8,,,,,,,,,,,00:00:00,inactive,2026-01-12,2026-01-12,2026-01-01,2026-01-12,2026-01-31,Interacción,120238431945640055,Buk,120238677381820055,120238677381810055,3327383120855148,,,0,,117327,0,0,0.03927451,1.14895918,1020,0,0,,0,0,245.28571429,0,,,,,,,1.32097639,0,1717,0,0
"[BUK]  Reel - 9 ene 2026 - EL ENERO ETERNO",not_delivering,1558,actions:post_engagement,0.0378819,5.08,Diario,59.02,15386,7960,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-12T15:57:27-0500,-,-,-,"[BUK] 3. Objt. Interacción - IG",,,10.12608865,,1.932915,7.414573,3.835955,7960,15414,,,,,,,,,60,,0,43,,21,20,1.017586,1.405238,1.372558,0.983667,0.279475,0.389965,0.527638,0.728643,0.136488,0.251256,58,42,2.810476,2.951,,,19,,,0,,0.037882,,1495,0.037882,,,,1558,1558,,,,11,9,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,not_delivering,2026-01-12,2026-01-12,2026-01-01,2026-01-12,2026-01-31,Interacción,120238431945640055,Buk,120238677458390055,120238677458400055,3327383120855148,,,0,,15391,0,0,0.14052381,5.27638191,420,0,0,,0,0,3623.25581395,0,,,,,,,1.93291457,0,1558,0,0
"[BUK] FB Reel - 12 de ene 2026 -LA PREVIA DEL CONCIERTO DEL CONEJO MALO",not_delivering,1561,actions:post_engagement,0.02373479,3,Diario,37.05,115007,90067,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,-,-,-,"[BUK] 4. Objt. Interacción - FB",,,1.35730869,,1.276905,0.41136,0.322154,90067,115100,,,,,,,,,1422,,0,678,,,,0.026578,0.054646,0.054646,0.026055,0.589529,1.236446,0.752773,1.547737,,,1394,678,,,,,1,18.525,2,0,1,0.023704,,878,0.023735,,,,1563,1561,,,,4,,,,0,,,,0,0,0,,,,,,,,,,,4,,,,,,,,,,,00:00:00,inactive,2026-01-12,2026-01-12,2026-01-01,2026-01-13,2026-01-31,Interacción,120238431945640055,Buk,120238677576620055,120238677576630055,3327383120855148,,,0,,115072,0,0,0.03113445,1.32123863,1190,0,0,,0,0,230.2359882,0,,,,,,,1.27690497,0,1561,0,0
"[BUK]  Reel - 12 ene 2026 - LA PREVIA DEL CONCIERTO DEL CONEJO MALO",not_delivering,1124,actions:post_engagement,0.03524911,3,Diario,39.62,26404,17868,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-12T17:27:07-0500,-,-,-,"[BUK] 4. Objt. Interacción - IG",,,4.25693077,,1.477726,2.217372,1.50053,17868,26450,,,,,,,,,125,,0,92,,65,61,0.327438,0.460698,0.430652,0.31696,0.348432,0.473413,0.481307,0.677188,0.246175,0.341392,121,86,0.609538,0.649508,,,39,,,0,,0.035249,,1017,0.035249,,,,1124,1124,,,,4,11,,,0,,,,0,0,0,,,,,,,,,,,1,,,,,,,,,,,00:00:00,inactive,2026-01-12,2026-01-12,2026-01-01,2026-01-12,2026-01-31,Interacción,120238431945640055,Buk,120238677644960055,120238677644950055,3327383120855148,,,0,,26451,0,0,0.04260215,5.20483546,930,0,0,,0,0,1221.73913043,0,,,,,,,1.47772554,0,1124,0,0
"[BUK] FB Reel - 15 de ene 2026 -EXPECTATIVA VS. REALIDAD: EL CONCIERTO BAD BUNNY",not_delivering,113866,actions:post_engagement,0.00061915,5,Diario,70.5,179653,148308,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-18T13:26:03-0500,-,-,-,"[BUK] 5. Objt. Interacción - FB -",,,63.38107351,,1.211351,0.475362,0.392423,145785,208674,176551,0.001395,0.000624,,50521,112928,,,1582,,0,356,,,,0.045484,0.198034,0.198034,0.044564,0.19816,0.880586,0.240041,1.045122,,,1550,356,,,,,0,70.5,1,0,6,0.000619,,519,0.000619,,,,113867,113866,,,,5,52,,,0,,,,0,0,0,,,,,,,,,,,1,,,,,62.858956,83527,58291,44774,30115,22440,11,not_delivering,2026-01-15,2026-01-15,2026-01-01,2026-01-15,2026-01-31,Interacción,120238431945640055,Buk,120238791369290055,120238791369280055,3327383120855148,,,0,,179710,0,0,0.029375,1.6182539,2400,0,0,,0,0,31984.83146067,0,,,,,,,1.2113507,0,23378,0,0.28121434
"[BUK]  Reel - 15 ene 2026 - EXPECTATIVA VS. REALIDAD: EL CONCIERTO BAD BUNNY",not_delivering,34851,actions:post_engagement,0.00205618,5.08,Diario,71.66,87598,69862,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-18T15:29:30-0500,-,-,-,"[BUK] 5. Objt. Interacción - IG",,,39.78515491,,1.253872,1.025736,0.818055,69149,94740,84412,0.00602,0.002083,,11904,34407,,,143,,0,36,,,,0.504648,1.990556,1.990556,0.501119,0.041097,0.163246,0.05153,0.203258,,,142,36,,,,,105,,,0,7,0.002056,,368,0.002056,,,,34851,34851,,,,22,11,3,,0,,2,3,0,0,0,23.886667,23.886667,,23.886667,,,3,,,,,,,,,39.278294,24510,15955,9650,5362,3974,7,not_delivering,2026-01-15,2026-01-18,2026-01-01,2026-01-15,2026-01-31,Interacción,120238431945640055,Buk,120238791430360055,120238791430350055,3327383120855148,,,0,,87598,0,0,0.02095322,4.89536515,3420,0,0,,0,0,96808.33333333,0,,,,,,,1.25387192,0,4418,0,0.13589351
