"Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","ROAS de resultados","Indicador de valor de resultado","Tasa de resultados","Valor de resultados",Frecuencia,"Costo por mil cuentas del centro de cuentas alcanzadas (USD)","CPM (costo por mil impresiones) (USD)",Espectadores,Visualizaciones,"Reproducciones de video","Costo por ThruPlay (USD)","Costo por reproducción de video de 3 segundos (USD)","Costo por reproducción de video continua de 2 segundos (USD)",ThruPlays,"Reproducciones de video de 3 segundos",unique_video_continuous_2_sec_watched_actions:video_view,"Reproducciones de video continuas de 2 segundos","Clics (todos)",shop_clicks,"Clics en Business AI","Clics en el enlace","Clics en la foto","Clics salientes","Clics salientes únicos","Costo por clic único (todos) (USD)","Costo por clic único en el enlace (USD)","CPC (costo por clic en el enlace) (USD)","CPC (todos) (USD)","CTR (porcentaje de clics en el enlace)","CTR (todos)","CTR único (porcentaje de clics en el enlace)","CTR único (todos)","Porcentaje de clics salientes","Porcentaje de clics salientes únicos","Clics únicos (todos)","Clics únicos en el enlace","Costo por clic saliente (USD)","Costo por clic saliente único (USD)","Costo por visita a la página de destino (USD)","Visitas a la página de destino del sitio web","Visitas al perfil de Instagram","Costo por Me gusta (USD)","Me gusta en Facebook","Seguimientos de Instagram","Comentarios de publicaciones","Costo por interacción con la página (USD)",instagram_upcoming_event_reminders_set,"Reacciones a publicaciones","Costo por interacción con una publicación (USD)",cost_per_action_type:group_join,"Costo por respuesta al evento (USD)",ar_effect_share:ar_effect_share,"Interacción con la página","Interacciones con la publicación","Registros de visitas","Respuestas a eventos",actions:group_join,"Veces que se compartieron las publicaciones","Veces que se guardaron las publicaciones","Contactos de mensajes",onsite_conversion_returning_messaging_connection,"Costo por mensaje entregado",cost_per_action_type:onsite_conversion.messaging_user_subscribed,actions:onsite_conversion.messaging_conversation_replied_7d,"Conversaciones con mensajes iniciadas","CTR de mensajes de marketing","Mensajes entregados","Mensajes de marketing leídos","Costo por contacto de mensajes (USD)"," (USD)",cost_per_onsite_conversion_returning_messaging_connection,"Costo por conversación con mensajes iniciada (USD)",actions:onsite_conversion.messaging_welcome_message_view,actions:onsite_conversion.messaging_user_subscribed,"Nuevos contactos de mensajes",actions:onsite_conversion.messaging_user_call_placed,actions:click_to_call_native_call_placed,actions:click_to_call_callback_request_submitted,Bloqueos,actions:click_to_call_native_20s_call_connect,actions:click_to_call_native_60s_call_connect,actions:onsite_conversion.messaging_20s_call_connect,actions:onsite_conversion.messaging_60s_call_connect,"Porcentaje de reproducciones de video de 3 segundos por impresiones","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Tiempo promedio de reproducción del video","Entrega del conjunto de anuncios","Fecha de creación","Fecha de última edición","Inicio del informe",Inicio,"Fin del informe",Objetivo,"Identificador de la campaña","Nombre de la cuenta","Identificador del anuncio","Identificador del conjunto de anuncios","Identificador de la cuenta",url_tags,instant_experience_element_reach:instant_experience_element_impression,"Impresiones de actualización automática",instant_experience_element_impressions:instant_experience_element_impression,"Impresiones totales (incluye impresiones no válidas de tráfico no atribuible a personas)","Porcentaje de visualización de la experiencia instantánea","Tiempo de visualización de la experiencia instantánea","Costo por mejora de recuerdo del anuncio (USD)","Índice de mejora de recuerdo del anuncio","Mejora de recuerdo del anuncio","Clics para iniciar la experiencia instantánea","Clics para abrir la experiencia instantánea","Clics salientes de experiencia instantánea","Porcentaje de compras por clics en el enlace","Porcentaje de compras por visitas a la página de destino","Porcentaje de resultados por clics en el enlace","Porcentaje de visitas a la página de destino por clics en el enlace","Costo por retención de día 2 en la app para celulares (USD)","Costo por retención de día 7 en la app para celulares (USD)","Retención de día 2 en la app para celulares","Valor de conversión de compras promedio","Retención de día 7 en la app para celulares",CVR,Frecuencia,%,"Interacciones sin reproducciones mínimas","Sesion Exitosa","VTR (Thruplay)"
"[BUK]  Reel - 7 ene 2026 -  El Terror de ver peliculas",not_delivering,,,,3,Diario,0,0,0,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-12T15:45:20-0500,-,-,-,"[BUK] 2. Objt. Interacción - IG",,,,,0,0,0,0,0,,,,,,,,,0,,0,,,,,0,,,0,,0,0,0,,,0,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,inactive,2026-01-12,2026-01-12,2026-02-01,2026-01-12,2026-02-28,Interacción,120238431945640055,Buk,120238675082340055,120238675082330055,3327383120855148,,,0,,0,0,0,0,0,0,0,0,,0,0,,0,,,,,,,,,0,,
"[BUK]  Reel - 9 ene 2026 -  EL ENERO ETERNO",not_delivering,,,,3,Diario,0,0,0,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-12T15:53:39-0500,-,-,-,"[BUK] 3. Objt. Interacción - FB",,,,,0,0,0,0,0,,,,,,,,,0,,0,,,,,0,,,0,,0,0,0,,,0,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,inactive,2026-01-12,2026-01-12,2026-02-01,2026-01-12,2026-02-28,Interacción,120238431945640055,Buk,120238677381820055,120238677381810055,3327383120855148,,,0,,0,0,0,0,0,0,0,0,,0,0,,0,,,,,,,,,0,,
"[BUK]  Reel - 9 ene 2026 - EL ENERO ETERNO",not_delivering,209,actions:post_engagement,0.03904306,5.08,Diario,8.16,1676,1422,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-12T15:57:27-0500,-,-,-,"[BUK] 3. Objt. Interacción - IG",,,12.47016706,,1.178622,5.738397,4.868735,1422,1679,,,,,,,,,14,,0,12,,7,6,0.627692,0.816,0.68,0.582857,0.71599,0.835322,0.703235,0.914205,0.417661,0.421941,13,10,1.165714,1.36,,,3,,,0,,0.039043,,195,0.039043,,,,209,209,,,,1,1,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,not_delivering,2026-01-12,2026-01-12,2026-02-01,2026-01-12,2026-02-28,Interacción,120238431945640055,Buk,120238677458390055,120238677458400055,3327383120855148,,,0,,1676,0,0,0.11657143,4.92264416,70,0,0,,0,0,1741.66666667,0,,,,,,,1.17862166,0,209,0,0
"[BUK] FB Reel - 12 de ene 2026 -LA PREVIA DEL CONCIERTO DEL CONEJO MALO",not_delivering,,,,3,Diario,0,0,0,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,-,-,-,"[BUK] 4. Objt. Interacción - FB",,,,,0,0,0,0,0,,,,,,,,,0,,0,,,,,0,,,0,,0,0,0,,,0,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,inactive,2026-01-12,2026-01-12,2026-02-01,2026-01-13,2026-02-28,Interacción,120238431945640055,Buk,120238677576620055,120238677576630055,3327383120855148,,,0,,0,0,0,0,0,0,0,0,,0,0,,0,,,,,,,,,0,,
"[BUK]  Reel - 12 ene 2026 - LA PREVIA DEL CONCIERTO DEL CONEJO MALO",not_delivering,,,,3,Diario,0,0,0,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-12T17:27:07-0500,-,-,-,"[BUK] 4. Objt. Interacción - IG",,,,,0,0,0,0,0,,,,,,,,,0,,0,,,,,0,,,0,,0,0,0,,,0,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,inactive,2026-01-12,2026-01-12,2026-02-01,2026-01-12,2026-02-28,Interacción,120238431945640055,Buk,120238677644960055,120238677644950055,3327383120855148,,,0,,0,0,0,0,0,0,0,0,,0,0,,0,,,,,,,,,0,,
"[BUK] FB Reel - 15 de ene 2026 -EXPECTATIVA VS. REALIDAD: EL CONCIERTO BAD BUNNY",not_delivering,11585,actions:post_engagement,0.00060855,5,Diario,7.05,19938,19334,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-18T13:26:03-0500,-,-,-,"[BUK] 5. Objt. Interacción - FB -",,,58.10512589,,1.03124,0.364643,0.353596,18878,22702,19543,0.001445,0.000614,,4878,11491,,,184,,0,44,,,,0.039167,0.160227,0.160227,0.038315,0.220684,0.922861,0.227578,0.931002,,,180,44,,,,,0,,,0,,0.000609,,49,0.000609,,,,11585,11585,,,,,1,,,0,,,,0,0,0,,,,,,,,,,,1,,,,,57.633664,8242,5659,4308,2863,2176,10,not_delivering,2026-01-15,2026-01-15,2026-02-01,2026-01-15,2026-02-28,Interacción,120238431945640055,Buk,120238791369290055,120238791369280055,3327383120855148,,,0,,19938,0,0,0.01855263,1.96544947,380,0,0,,0,0,26329.54545455,0,,,,,,,1.0312403,0,2270,0,0.24465844
"[BUK]  Reel - 15 ene 2026 - EXPECTATIVA VS. REALIDAD: EL CONCIERTO BAD BUNNY",not_delivering,4510,actions:post_engagement,0.00170953,5.08,Diario,7.71,9893,9657,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-18T15:29:30-0500,-,-,-,"[BUK] 5. Objt. Interacción - IG",,,45.58778935,,1.024438,0.798385,0.779339,9527,11223,9539,0.005274,0.001718,,1462,4488,,,17,,0,,,,,0.453529,,,0.453529,,0.171839,0,0.176038,,,17,,,,,,17,,,0,,0.00171,,21,0.00171,,,,4510,4510,,,,,1,,,0,,,,0,0,0,,,,,,,,,,,,,,,,45.36541,3029,1925,1197,705,548,7,not_delivering,2026-01-15,2026-01-18,2026-02-01,2026-01-15,2026-02-28,Interacción,120238431945640055,Buk,120238791430360055,120238791430350055,3327383120855148,,,0,,9894,0,0,0.01352632,5.90245418,570,0,0,,0,0,,0,,,,,,,1.02443823,0,570,,0.14778126
"[BUK] FB Reel - 16 de ene 2026 -RELACIÓN TÓXICA PERO SABROSA",not_delivering,,,,3,Diario,0,0,0,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-18T13:26:11-0500,-,-,-,"[BUK] 6. Objt. Interacción - FB -",,,,,0,0,0,0,0,,,,,,,,,0,,0,,,,,0,,,0,,0,0,0,,,0,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,inactive,2026-01-18,2026-01-18,2026-02-01,2026-01-18,2026-02-28,Interacción,120238431945640055,Buk,120238876936290055,120238876936280055,3327383120855148,,,0,,0,0,0,0,0,0,0,0,,0,0,,0,,,,,,,,,0,,
"[BUK]  Reel - 16 ene 2026 - RELACIÓN TÓXICA PERO SABROSA",not_delivering,,,,3,Diario,0,0,0,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-18T13:26:46-0500,-,-,-,"[BUK] 6. Objt. Interacción - IG",,,,,0,0,0,0,0,,,,,,,,,0,,0,,,,,0,,,0,,0,0,0,,,0,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,inactive,2026-01-18,2026-01-18,2026-02-01,2026-01-18,2026-02-28,Interacción,120238431945640055,Buk,120238876992250055,120238876992240055,3327383120855148,,,0,,0,0,0,0,0,0,0,0,,0,0,,0,,,,,,,,,0,,
"[BUK]  Reel - 19 ene 2026 - ¿Tienes un chisme nuclear y tu",not_delivering,3939,actions:post_engagement,0.00196497,5,Diario,7.74,6886,6629,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-27T16:44:39-0500,-,-,-,"[BUK] 7. Objt. Interacción - IG",,,57.20302062,,1.038769,1.167597,1.12402,6449,7901,6544,0.005954,0.001971,,1300,3927,,,10,,0,,,,,0.774,,,0.774,,0.145222,0,0.150852,,,10,,,,,,10,,,0,,0.001965,,10,0.001965,,,,3939,3939,,,,2,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,57.028754,2419,1382,952,767,742,9,not_delivering,2026-01-26,2026-01-27,2026-02-01,2026-01-26,2026-02-28,Interacción,120238431945640055,Buk,120239139520200055,120239139520190055,3327383120855148,,,0,,6886,0,0,0.02276471,5.12897873,340,0,0,,0,0,,0,,,,,,,1.03876905,0,754,,0.18878885
