"Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","ROAS de resultados","Indicador de valor de resultado","Tasa de resultados","Valor de resultados",Frecuencia,"Costo por mil cuentas del centro de cuentas alcanzadas (USD)","CPM (costo por mil impresiones) (USD)",Espectadores,Visualizaciones,"Reproducciones de video","Costo por ThruPlay (USD)","Costo por reproducción de video de 3 segundos (USD)","Costo por reproducción de video continua de 2 segundos (USD)",ThruPlays,"Reproducciones de video de 3 segundos",unique_video_continuous_2_sec_watched_actions:video_view,"Reproducciones de video continuas de 2 segundos","Clics (todos)",shop_clicks,"Clics en Business AI","Clics en el enlace","Clics en la foto","Clics salientes","Clics salientes únicos","Costo por clic único (todos) (USD)","Costo por clic único en el enlace (USD)","CPC (costo por clic en el enlace) (USD)","CPC (todos) (USD)","CTR (porcentaje de clics en el enlace)","CTR (todos)","CTR único (porcentaje de clics en el enlace)","CTR único (todos)","Porcentaje de clics salientes","Porcentaje de clics salientes únicos","Clics únicos (todos)","Clics únicos en el enlace","Costo por clic saliente (USD)","Costo por clic saliente único (USD)","Costo por visita a la página de destino (USD)","Visitas a la página de destino del sitio web","Visitas al perfil de Instagram","Costo por Me gusta (USD)","Me gusta en Facebook","Seguimientos de Instagram","Comentarios de publicaciones","Costo por interacción con la página (USD)",instagram_upcoming_event_reminders_set,"Reacciones a publicaciones","Costo por interacción con una publicación (USD)",cost_per_action_type:group_join,"Costo por respuesta al evento (USD)",ar_effect_share:ar_effect_share,"Interacción con la página","Interacciones con la publicación","Registros de visitas","Respuestas a eventos",actions:group_join,"Veces que se compartieron las publicaciones","Veces que se guardaron las publicaciones","Contactos de mensajes",onsite_conversion_returning_messaging_connection,"Costo por mensaje entregado",cost_per_action_type:onsite_conversion.messaging_user_subscribed,actions:onsite_conversion.messaging_conversation_replied_7d,"Conversaciones con mensajes iniciadas","CTR de mensajes de marketing","Mensajes entregados","Mensajes de marketing leídos","Costo por contacto de mensajes (USD)"," (USD)",cost_per_onsite_conversion_returning_messaging_connection,"Costo por conversación con mensajes iniciada (USD)",actions:onsite_conversion.messaging_welcome_message_view,actions:onsite_conversion.messaging_user_subscribed,"Nuevos contactos de mensajes",actions:onsite_conversion.messaging_user_call_placed,actions:click_to_call_native_call_placed,actions:click_to_call_callback_request_submitted,Bloqueos,actions:click_to_call_native_20s_call_connect,actions:click_to_call_native_60s_call_connect,actions:onsite_conversion.messaging_20s_call_connect,actions:onsite_conversion.messaging_60s_call_connect,"Porcentaje de reproducciones de video de 3 segundos por impresiones","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Tiempo promedio de reproducción del video","Entrega del conjunto de anuncios","Fecha de creación","Fecha de última edición","Inicio del informe",Inicio,"Fin del informe",Objetivo,"Identificador de la campaña","Nombre de la cuenta","Identificador del anuncio","Identificador del conjunto de anuncios","Identificador de la cuenta",url_tags,instant_experience_element_reach:instant_experience_element_impression,"Impresiones de actualización automática",instant_experience_element_impressions:instant_experience_element_impression,"Impresiones totales (incluye impresiones no válidas de tráfico no atribuible a personas)","Porcentaje de visualización de la experiencia instantánea","Tiempo de visualización de la experiencia instantánea","Costo por mejora de recuerdo del anuncio (USD)","Índice de mejora de recuerdo del anuncio","Mejora de recuerdo del anuncio","Clics para iniciar la experiencia instantánea","Clics para abrir la experiencia instantánea","Clics salientes de experiencia instantánea","Porcentaje de compras por clics en el enlace","Porcentaje de compras por visitas a la página de destino","Porcentaje de resultados por clics en el enlace","Porcentaje de visitas a la página de destino por clics en el enlace","Costo por retención de día 2 en la app para celulares (USD)","Costo por retención de día 7 en la app para celulares (USD)","Retención de día 2 en la app para celulares","Valor de conversión de compras promedio","Retención de día 7 en la app para celulares",CVR,Frecuencia,%,"Interacciones sin reproducciones mínimas","Sesion Exitosa","VTR (Thruplay)"
"[BUK] Reel - 28/03  El profe se pasó de frío, pero m",not_delivering,7921,actions:post_engagement,0.0020654,20,Diario,16.36,13992,13434,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T12:32:09-0500,Promedio,Promedio,"Por encima del promedio","[BUK] Segmentos Jóvenes - IG",,,56.61092053,,1.041536,1.217806,1.16924,13049,14958,13601,0.010187,0.002084,,1606,7851,,,11,,0,,,,,1.487273,,,1.487273,,0.078616,0,0.081882,,,11,,,,,,9,,,0,1,0.002065,,62,0.002065,,,,7921,7921,,,,5,2,,,0,,,,0,0,0,,,,,,,,,,,,,,,,56.110635,6068,2265,1175,643,593,7,completed,2026-03-10,2026-03-10,2026-03-01,2026-03-10,2026-03-31,Interacción,120240665952090055,Buk,120240666520010055,120240666519970055,3327383120855148,,,0,,13992,0,0,0.02337143,5.21065952,700,0,0,,0,0,,0,,,,,,,1.0415364,0,663,,0.11477987
"[BUK] Reel - 08/03  La verdadera multitasker, la que carga mil niveles a la vez. ¡En Buk sabemos que nada te debe frenar! Por eso, te damos la sensación de alivio y frescura para que sigas conquistando tu mundo 🚀 #MujerMultiplayer #BukParaTodas #NoLagDeGarganta #Buk #Tos #CaramelosBuk #VocesImparables #8Marzo #MujeresPeruanas #8M #PowerFemenino",not_delivering,,,,20,Diario,0,0,0,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T12:32:09-0500,-,-,-,"[BUK] Segmentos Jóvenes - IG",,,,,0,0,0,0,0,,,,,,,,,0,,0,,,,,0,,,0,,0,0,0,,,0,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,completed,2026-03-10,2026-03-10,2026-03-01,2026-03-10,2026-03-31,Interacción,120240665952090055,Buk,120240666520020055,120240666519970055,3327383120855148,,,0,,0,0,0,0,0,0,0,0,,0,0,,0,,,,,,,,,0,,
"[BUK] 12/03 - Reel -El peor enemigo de tu irritación de garganta acaba de llegar al estudio 🤫 Corta la molestia y siente la sensación de alivio y frescura con Buk 😉 #Buk #Tos #CaramelosBuk #Perú #Podcast #VueltaAClases #Curiosidades",inactive,531,actions:post_engagement,0.03725047,10,Diario,19.78,2482,422,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T12:03:30-0500,-,-,-,"[BUK] Segmentos de Seguidores",,,21.39403707,,5.881517,46.872038,7.96938,412,2411,2065,0.186604,0.039402,,106,502,,,4,,0,,,,,4.945,,,4.945,,0.16116,0,0.947867,,,4,,,,,,3,,,0,,0.03725,,27,0.03725,,,,531,531,,,,1,1,,,0,,,,0,0,0,,,,,,,,,,,,,,,,20.225625,212,115,87,70,69,9,completed,2026-03-13,2026-03-30,2026-03-01,2026-03-10,2026-03-31,Interacción,120240665952090055,Buk,120240780773420055,120240665952050055,3327383120855148,,,0,,2485,0,0,0.32966667,14.21800948,60,0,0,,0,0,,0,,,,,,,5.88151659,0,98,,0.04270749
"[BUK] 12/03 - Reel - El peor enemigo de tu irritación d",inactive,26157,actions:post_engagement,0.00163857,20,Diario,42.86,62362,57179,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T12:32:09-0500,"Por debajo del promedio - 35% de los anuncios menos relevantes","Por debajo del promedio - 35% de los anuncios menos relevantes","Por encima del promedio","[BUK] Segmentos Jóvenes - IG",,,41.94381194,,1.090645,0.749576,0.687278,56169,69393,61448,0.004321,0.001656,,9920,25888,,,54,,0,,,,,0.793704,,,0.793704,,0.086591,0,0.09444,,,54,,,,,,46,,,0,3,0.001639,,239,0.001639,,,,26157,26157,,,,19,8,,,0,,,,0,0,0,,,,,,,,,,,,,,,,41.51246,19554,10362,8563,5044,4303,8,completed,2026-03-13,2026-03-25,2026-03-01,2026-03-10,2026-03-31,Interacción,120240665952090055,Buk,120240781041220055,120240666519970055,3327383120855148,,,0,,62364,0,0,0.01623485,4.6170797,2640,0,0,,0,0,,0,,,,,,,1.09064517,0,4572,,0.15907123
"[BUK] 12/03 - Reel - El peor enemigo de tu irritación de garganta acaba de llegar al estudio 🤫 Corta la molestia y siente la sensación de alivio y frescura con Buk 😉 #Buk #Tos #CaramelosBuk #Perú #Podcast #VueltaAClases #Curiosidades",not_delivering,1,actions:post_engagement,0,10,Diario,0,1,1,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T12:30:46-0500,-,-,-,"[BUK] Segmentos Jóvenes - FB",,,100,,1,0,0,1,1,1,,0,,,1,,,0,,0,,,,,0,,,0,,0,0,0,,,0,,,,,,0,,,0,,0,,,0,,,,1,1,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,100,,,,,,3,completed,2026-03-13,2026-03-13,2026-03-01,2026-03-10,2026-03-31,Interacción,120240665952090055,Buk,120240781443970055,120240666282360055,3327383120855148,,,0,,1,0,0,0,100,1,0,0,,0,0,,0,,,,,,,1,0,0,,0
"[BUK] 15/03 - Reel - Algunas cosas nunca cambian. O",inactive,727,actions:post_engagement,0.04200825,10,Diario,30.54,4062,435,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T12:03:30-0500,"Por debajo del promedio - 10% de los anuncios menos relevantes","Por debajo del promedio - 20% de los anuncios menos relevantes",Promedio,"[BUK] Segmentos de Seguidores",,,17.8975874,,9.337931,70.206897,7.518464,429,3909,3515,0.216596,0.045244,,141,675,,,14,,0,,,,,2.349231,,,2.181429,,0.344658,0,2.988506,,,13,,,,,,19,,,0,2,0.042008,,45,0.042008,,,,727,727,,,,3,2,,,0,,,,0,0,0,,,,,,,,,,,,,,,,16.61743,165,85,68,59,56,4,completed,2026-03-16,2026-03-25,2026-03-01,2026-03-10,2026-03-31,Interacción,120240665952090055,Buk,120240872155590055,120240665952050055,3327383120855148,,,0,,4064,0,0,0.509,13.79310345,60,0,0,,0,0,,0,,,,,,,9.33793103,0,108,,0.03471196
"[BUK] 15/03 - Reel - Algunas cosas nunca cambian.",inactive,128,actions:post_engagement,0.03484375,10,Diario,4.46,618,240,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T12:03:30-0500,-,-,-,"[BUK] Segmentos de Seguidores",,,20.71197411,,2.575,18.583333,7.216828,229,602,554,0.318571,0.040545,,14,110,,,1,,0,,,,,4.46,,,4.46,,0.161812,0,0.416667,,,1,,,,,,2,,,0,1,0.034844,,15,0.034844,,,,128,128,,,,1,1,,,0,,,,0,0,0,,,,,,,,,,,,,,,,17.799353,18,12,9,7,7,6,completed,2026-03-16,2026-03-25,2026-03-01,2026-03-10,2026-03-31,Interacción,120240665952090055,Buk,120240887632010055,120240665952050055,3327383120855148,,,0,,618,0,0,0.14866667,12.5,30,0,0,,0,0,,0,,,,,,,2.575,0,25,,0.02265372
"[BUK] 15/03 - Reel - Algunas cosas nunca cambian.",not_delivering,2,actions:post_engagement,0,10,Diario,0,2,2,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T12:30:46-0500,-,-,-,"[BUK] Segmentos Jóvenes - FB",,,100,,1,0,0,2,4,2,,0,,,2,,,0,,0,,,,,0,,,0,,0,0,0,,,0,,,,,,0,,,0,,0,,,0,,,,2,2,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,100,1,,,,,10,completed,2026-03-16,2026-03-16,2026-03-01,2026-03-10,2026-03-31,Interacción,120240665952090055,Buk,120240887668840055,120240666282360055,3327383120855148,,,0,,2,0,0,0,50,1,0,0,,0,0,,0,,,,,,,1,0,0,,0
"[BUK] 15/03 - Reel - Algunas cosas nunca cambian. O",inactive,133,actions:post_engagement,0.00112782,20,Diario,0.15,340,331,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T12:32:09-0500,-,-,-,"[BUK] Segmentos Jóvenes - IG",,,39.11764706,,1.02719,0.453172,0.441176,310,408,346,0.003947,0.001172,,38,128,,,0,,0,,,,,0,,,0,,0,0,0,,,0,,,,,,0,,,0,,0.001128,,5,0.001128,,,,133,133,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,37.647059,45,19,16,9,8,9,completed,2026-03-16,2026-03-30,2026-03-01,2026-03-10,2026-03-31,Interacción,120240665952090055,Buk,120240922880150055,120240666519970055,3327383120855148,,,0,,340,0,0,0.005,9.06344411,30,0,0,,0,0,,0,,,,,,,1.02719033,0,13,,0.11176471
"[BUK] 19/03 - Reel - Susurrarle la respuesta a tu",not_delivering,309,actions:post_engagement,0.02686084,10,Diario,8.3,1153,301,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T12:03:30-0500,-,-,-,"[BUK] Segmentos de Seguidores",,,26.79965308,,3.830565,27.574751,7.198612,287,1168,1039,0.140678,0.028621,,59,290,,,1,,0,,,,,8.3,,,8.3,,0.08673,0,0.332226,,,1,,,,,,1,,,0,,0.026861,,17,0.026861,,,,309,309,,,,,2,,,0,,,,0,0,0,,,,,,,,,,,,,,,,25.151778,153,78,54,36,35,6,completed,2026-03-25,2026-03-25,2026-03-01,2026-03-10,2026-03-31,Interacción,120240665952090055,Buk,120241290724060055,120240665952050055,3327383120855148,,,0,,1158,0,0,0.2075,13.28903654,40,0,0,,0,0,,0,,,,,,,3.83056478,0,54,,0.05117086
