"ID de comentario","ID de usuario","Nombre de usuario","Apodo","Comentario","Hora de comentar","Digg Count","Author Digged","Conteo de respuestas","Fijado en la parte superior","Página de inicio del usuario"
"=""7621402636550701844""","=""7238257560611079174""","axelcastro74","rocks D.xebec","a mi me daban 50 centimos para la semana","26/3/2026, 4:35:04","26","No","3","No","https://www.tiktok.com/@axelcastro74"
"=""7623181057273512705""","=""7342132573600105477""","edgarjosecurim526","E. Jose Cury","qué es lonchera?","31/3/2026, 0:40:31","0","No","1","No","https://www.tiktok.com/@edgarjosecurim526"
"=""7623173097210938119""","=""7199107990699213829""","bloodylen","Edwin","se llevaba lonchera al colegio? 😮","31/3/2026, 0:09:15","0","No","1","No","https://www.tiktok.com/@bloodylen"
"=""7622924570785776405""","=""6848853417894560773""","gidelrocio","Gisella del Rocio","a mi me daban 5 soles 🤭","30/3/2026, 8:00:49","0","No","1","No","https://www.tiktok.com/@gidelrocio"
"=""7622890873273205524""","=""6515833092295365632""","fabialmonacidh","fabi","Jaja yo soy 50 50 haajahhahahqhhq","30/3/2026, 5:50:03","0","No","1","No","https://www.tiktok.com/@fabialmonacidh"
"=""7621942303799657224""","=""6524127881499513856""","ana.karem","Ana Karem Berna Valenzuela","mi mamá me daba 1 sol o me mandaba un yogurt con galletas es lo que por ahí y me acuerdo porque estudie en la mañana de primero de primaria hasta tercer grado ya que de cuarto de primera hasta quinto de secundaria estudie en la tarde y ya iba con desayuno y almuerzo y regresaba a las 6pm a mi casa para tomar lonche y ya a las 9 cenaba","27/3/2026, 15:28:57","1","No","1","No","https://www.tiktok.com/@ana.karem"
"=""7621929003645502209""","=""6801844492003378182""","kalexy195","kaxyle1905","yo soy la de antes😁","27/3/2026, 14:37:24","1","No","1","No","https://www.tiktok.com/@kalexy195"
"=""7623041523089048328""","=""6780200839337985029""","natti.cane","Cane Nat","a mi me mandaban mi te con pan con mantequilla 😁","30/3/2026, 15:34:34","1","No","1","No","https://www.tiktok.com/@natti.cane"
"=""7620209436033041170""","=""6913666671031632902""","tim27813","Tim😅","q raro ami siempre me dieron efectivo y compraba lo q quería 😂😂😂","22/3/2026, 23:29:08","7","No","1","No","https://www.tiktok.com/@tim27813"
"=""7621699221600043796""","=""7089788102843499526""","carlos2ju","Junior","Yo no tenia ni refrigerioooO😳😳😳😳","26/3/2026, 23:46:08","1","No","1","No","https://www.tiktok.com/@carlos2ju"
"=""7621591673243828999""","=""7328068511665685509""","capibara1157","Daniel8684","Mi mamá me mandara mi s refresco en balde pequeños 😂😂😂😂😂😂😂😂😂😂yo a mis hijos les doy dinero","26/3/2026, 16:48:23","3","Sí","1","No","https://www.tiktok.com/@capibara1157"
"=""7622011090805965576""","=""7475046822458344453""","mariavirginiaclown","Maria Virginia Clown","Yo solo el primer día xd","27/3/2026, 19:56:03","0","No","1","No","https://www.tiktok.com/@mariavirginiaclown"
"=""7622038756988388116""","=""7217967882046981125""","milaherrera813","milaherrera813","Mi hijo lo único que lleva es su tomatodo con agua y dinero 😁","27/3/2026, 21:43:30","0","No","1","No","https://www.tiktok.com/@milaherrera813"
"=""7622073852331803399""","=""7082393325525746693""","alealessandrafarmasi","Alessandra Imparable🦋🪬","Jajajajaa","27/3/2026, 23:59:42","1","Sí","0","No","https://www.tiktok.com/@alealessandrafarmasi"
"=""7621991661677347605""","=""6786493729533658117""","karixx22","Karina Balxx","me daban 1sol y ya jaja","27/3/2026, 18:40:35","1","No","1","No","https://www.tiktok.com/@karixx22"
"=""7622009801594323729""","=""7159810679876551686""","jazyu0","Jazyu🇵🇪","yo no conocía lonchera🤧YO llevaba mis 10 centavos. y mi canchera de 10 sentimos.. aveces nada . ps yo si envío lo más rápido q se pueda hacer aveces su SALCHIPAPA y sus frutas🥰","27/3/2026, 19:51:03","1","No","1","No","https://www.tiktok.com/@jazyu0"
"=""7621830558977213192""","=""6789062202650313734""","w3tgl4ass_","fugadel154","Oe y la propina y el pasaje? 2 soles de pasaje solo pa ir luego regreso a pie","27/3/2026, 8:15:30","0","No","1","No","https://www.tiktok.com/@w3tgl4ass_"
"=""7623414901146796818""","=""7469108262647088129""","frozen.girl34","❤️‍🔥Frozen Girl ❄️🌬️","A mi ni eso me daban Jajaja
Pero ahora trato de darles a mis hijos una buena lonchera 😁","31/3/2026, 15:43:27","0","No","1","No","https://www.tiktok.com/@frozen.girl34"
"=""7622524897433027336""","=""6814145189616911366""","melodyea","Melina Espinoza","yo soy de la vieja escuela lo siento 😁😁😁","29/3/2026, 6:09:54","2","Sí","0","No","https://www.tiktok.com/@melodyea"
"=""7623085028540564231""","=""7599084940488262676""","kenderfeo2","kenderfeo2","las mamás de mis compañeros vs mi mi Má diciéndome comprate un jugó y un oan","30/3/2026, 18:23:20","0","No","1","No","https://www.tiktok.com/@kenderfeo2"
