Ad name,Primary status,Secondary status,Ad group ID,Ad group name,Ad ID,Cost,CPC (destination),CPM,Impressions,Clicks (destination),CTR (destination),Conversions,Conversions [SAN],Cost per conversion,Cost per conversion [SAN],"Conversion rate (CVR, clicks) [SAN]",Conversion rate (CVR),Conversion rate (CVR) [SAN],Results,Cost per result,Result rate,Deep funnel result,Cost per deep funnel result,Deep funnel result rate,Secondary source,Primary source,Attribution source,Currency
Ad name2026-03-31 10:54:42,Paused,Campaign paused; Ad completed; Out of campaign budget,1859127528553473,[BUK] Interacción,1861193407145009,1.11,0.00,1.25,888,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",1,1.11,"0,11%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-03-31 10:54:33,Paused,Campaign paused; Ad completed; Out of campaign budget,1859127528553473,[BUK] Interacción,1861193409849841,2.06,0.00,1.54,1338,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",4,0.52,"0,30%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-03-25 18:56:11,Paused,Campaign paused;  ; Ad completed; Out of campaign budget,1859127528553473,[BUK] Interacción,1860680099858801,138.42,0.00,1.10,126135,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",240,0.58,"0,19%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-03-25 18:56:29,Paused,Campaign paused; Ad completed; Out of campaign budget,1859127528553473,[BUK] Interacción,1860680106357778,23.38,0.00,0.97,24180,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",32,0.73,"0,13%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-03-25 18:56:29,Paused,Campaign paused;  ; Ad completed; Out of campaign budget,1859127528553473,[BUK] Interacción,1860680106357794,126.98,0.00,1.09,116028,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",338,0.38,"0,29%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-03-18 12:43:05,Paused,Campaign paused; Ad completed; Out of campaign budget,1859127528553473,[BUK] Interacción,1860022562313330,92.68,0.00,1.04,89406,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",183,0.51,"0,20%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-03-16 14:58:16,Paused,Campaign paused;  ; Ad completed; Out of campaign budget,1859127528553473,[BUK] Interacción,1859849812633777,40.14,0.00,0.88,45748,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",183,0.22,"0,40%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-03-13 10:47:25,Paused,Campaign paused;  ; Ad completed; Out of campaign budget,1859127528553473,[BUK] Interacción,1859562291817617,70.23,0.00,0.65,107637,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",106,0.66,"0,10%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-03-08 15:40:21,Paused,Campaign paused;  ; Ad completed; Out of campaign budget,1859127528553473,[BUK] Interacción,1859127695811681,31.09,0.00,0.80,38688,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",108,0.29,"0,28%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-03-08 15:40:33,Paused,Campaign paused;  ; Ad completed; Out of campaign budget,1859127528553473,[BUK] Interacción,1859127757597729,35.70,0.00,0.95,37537,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",91,0.39,"0,24%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-03-08 15:40:33,Paused,Campaign paused;  ; Ad completed; Out of campaign budget,1859127528553473,[BUK] Interacción,1859127757597745,15.84,0.00,0.77,20583,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",34,0.47,"0,17%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-03-08 15:40:33,Paused,Campaign paused;  ; Ad completed; Out of campaign budget,1859127528553473,[BUK] Interacción,1859127757598785,22.37,0.00,0.64,34756,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",47,0.48,"0,14%",-,-,-,TikTok account,Your own content,-,USD
Total of 12 results,-,-,-,-,-,600.00,0.00,0.93,642924,0,"0,00%",0,-,0.00,-,-,"0,00%",-,-,-,-,-,-,-,-,-,-,USD
