"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","CPM (costo por mil impresiones) (USD)",Frecuencia,"Clics en el enlace"
2025-10-01,2025-10-31,"[Depilé] 30/09/2024 [1] [Reel] IG [Tip de belleza que nadie te contó 👀:]",inactive,2889,actions:post_engagement,0.01285566,50,Total,37.14,41779,29575,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,-,-,-,"[Depilé] Obj Interacción IG - [Entretenimiento] Octubre 2025",0.888963,1.412646,
2025-10-01,2025-10-31,"[Depilé] 30/09/2024 [1] [Reel] FB [Tip de belleza que nadie te contó 👀:]",inactive,2629,actions:post_engagement,0.01421073,50,Total,37.36,38085,24080,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-01T15:39:24-0500,-,-,-,"[Depilé] Obj - Interacción FB -  [Entretenimiento] - Octubre 2025",0.980964,1.581603,8
2025-10-01,2025-10-31,"[Depilé] 3/10/2024 [1] [Post secuencia] IG [No solo se trata de quitar el vello, sino de cuidar tu piel para que luzca increíble siempre.]",not_delivering,591,actions:post_engagement,0.03331641,40,Total,19.69,4700,3391,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-06T09:34:25-0500,-,-,-,"[Depilé] Obj Interacción IG [Educativo]- Octubre 2025",4.189362,1.386022,34
2025-10-01,2025-10-31,"[Depilé] 3/10/2024 [1] [Post secuencia] FB [No solo se trata de quitar el vello, sino de cuidar tu piel para que luzca increíble siempre.]",not_delivering,1591,actions:post_engagement,0.01159648,40,Total,18.45,29814,17729,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-06T10:27:13-0500,-,-,-,"[Depilé] Obj - Interacción FB - [Educativo]- Octubre 2025",0.618837,1.681652,21
2025-10-01,2025-10-31,"[Depilé] 6/10/2024 [1] [Reel] FB [Mi yo del pasado estaría orgullos@ de esta rutina 🙌]",not_delivering,26269,actions:post_engagement,0.00121055,40.84,Total,31.8,47045,38068,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-21T09:22:40-0500,-,-,-,"[Depilé] Obj - Interacción FB - [Depicare]- Octubre 2025",0.675949,1.235815,14
2025-10-01,2025-10-31,"[Depilé] 6/10/2024 [1] [Reel] IG [Mi yo del pasado estaría orgullos@ de esta rutina 🙌]",inactive,514,actions:post_engagement,0.04054475,40,Total,20.84,4538,3427,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-21T09:22:34-0500,-,-,-,"[Depilé] Obj Interacción IG [Depicare]- Octubre 2025",4.592331,1.32419,35
2025-10-01,2025-10-31,"[Depilé] 9/10/2024 [1] [Post secuencia] FB [Depilarte no tiene por qué doler ni ser complicado. Con Depilé Men, cuidas tu piel y obtienes resultados pro 💪🔥]",not_delivering,3200,actions:post_engagement,0.00863437,40,Total,27.63,38341,24151,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-21T09:22:25-0500,-,-,-,"[Depilé] Obj - Interacción FB - [Producto]- Octubre 2025",0.720638,1.587553,2
2025-10-01,2025-10-31,"[Depilé] 13/10/2024 [2] [Post diseño] FB [3 en 1: depilación mientras te duchas y cuidas tu piel ✨]",inactive,192,actions:post_engagement,0.01395833,40,Total,2.68,1898,1184,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-21T09:22:25-0500,-,-,-,"[Depilé] Obj - Interacción FB - [Producto]- Octubre 2025",1.412013,1.603041,6
2025-10-01,2025-10-31,"[Depilé] 13/10/2024 [2] [Post diseño] FB [3 en 1: depilación mientras te duchas y cuidas tu piel ✨]",not_delivering,699,actions:post_engagement,0.04331903,40,Total,30.28,9019,5439,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,-,-,-,"[Depilé] Obj Interacción IG [Producto]- Octubre 2025",3.357357,1.658209,24
2025-10-01,2025-10-31,"[Depilé] 15/10/2024 [2] [Reel] FB [Exfoliar tu piel es clave antes de la depilación ✨]",not_delivering,21485,actions:post_engagement,0.00078473,40,Total,16.86,32352,25598,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-06T10:27:13-0500,-,-,-,"[Depilé] Obj - Interacción FB - [Educativo]- Octubre 2025",0.521142,1.263849,2
2025-10-01,2025-10-31,"[Depilé] 15/10/2024 [2] [Reel] IG [Exfoliar tu piel es clave antes de la depilación ✨]",not_delivering,7982,actions:post_engagement,0.0019995,40,Total,15.96,17595,16025,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-06T09:34:25-0500,-,-,-,"[Depilé] Obj Interacción IG [Educativo]- Octubre 2025",0.907076,1.097972,
2025-10-01,2025-10-31,"[Depilé] 17/10/2024 [2] [Post diseño] IG [Un solo kit. 4 pasos 😍]",not_delivering,275,actions:post_engagement,0.04396364,40,Total,12.09,2394,1857,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-21T09:22:34-0500,-,-,-,"[Depilé] Obj Interacción IG [Depicare]- Octubre 2025",5.050125,1.289176,20
2025-10-01,2025-10-31,"[Depilé] 17/10/2024 [2] [Post diseño] FB [Un solo kit. 4 pasos 😍]",not_delivering,,,,40.84,Total,0,0,0,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-21T09:22:40-0500,-,-,-,"[Depilé] Obj - Interacción FB - [Depicare]- Octubre 2025",0,0,
2025-10-01,2025-10-31,"[Depilé] 19/10/2024 [2] [Reel] FB [💗 Tócate, explórate, cuídate.]",not_delivering,4428,actions:post_engagement,0.00209575,50,Total,9.28,10324,9716,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-01T15:39:24-0500,-,-,-,"[Depilé] Obj - Interacción FB -  [Entretenimiento] - Octubre 2025",0.898876,1.062577,
2025-10-01,2025-10-31,"[Depilé] 19/10/2024 [2] [Reel] IG [💗 Tócate, explórate, cuídate.]",not_delivering,1989,actions:post_engagement,0.00452489,50,Total,9,4344,3871,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,-,-,-,"[Depilé] Obj Interacción IG - [Entretenimiento] Octubre 2025",2.071823,1.122191,
2025-10-01,2025-10-31,"[Depilé] 15/10/2024 [2] [Reel] FB [Exfoliar tu piel es clave antes de la depilación ✨]",not_delivering,15493,actions:post_engagement,0.00098496,20,Diario,15.26,23114,21294,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-31T09:27:52-0500,-,-,-,"[Depilé] 2. Obj - Interacción FB - [Educativo]- Octubre 2025",0.660206,1.08547,
2025-10-01,2025-10-31,"[Depilé] 3/10/2024 [1] [Post secuencia] IG [No solo se trata de quitar el vello, sino de cuidar tu piel para que luzca increíble siempre.]",not_delivering,97,actions:post_engagement,0.13783505,20,Diario,13.37,2147,1938,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-31T09:27:45-0500,-,-,-,"[Depilé] 1. Obj Interacción IG - Octubre 2025 - Copia",6.227294,1.107843,10
2025-10-01,2025-10-31,"[Depilé] 13/10/2024 [2] [Post diseño] FB [3 en 1: depilación mientras te duchas y cuidas tu piel ✨] - Copia",not_delivering,154,actions:post_engagement,0.08980519,20,Diario,13.83,2771,2423,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-31T09:27:39-0500,-,-,-,"[Depilé] 3. Obj Interacción IG - Octubre 2025 - Copia",4.990978,1.143624,3
2025-10-01,2025-10-31,"[Depilé] 13/10/2024 [2] [Post diseño] FB [3 en 1: depilación mientras te duchas y cuidas tu piel ✨] - Copia",not_delivering,481,actions:post_engagement,0.03230769,20,Diario,15.54,6908,6011,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-31T09:27:25-0500,-,-,-,"[Depilé] 3. Obj - Interacción FB - [Educativo]- Octubre 2025 - Copia",2.249566,1.149226,1
2025-10-01,2025-10-31,"[Depilé] 22/10/2024 [2] [Post diseño] FB [⚠️ El error que muchos chicos comenten: depilarse antes de entrenar.]",not_delivering,996,actions:post_engagement,0.01524096,20,Diario,15.18,18683,14971,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-31T09:27:14-0500,-,-,-,"[Depilé] 4. Obj - Interacción FB - [Educativo]- Octubre 2025 - Copia 2",0.812503,1.247946,152
2025-10-01,2025-10-31,"[Depilé] 24/10/2024 [2] [Post diseño] FB [La vida ya trae suficientes complicaciones…]",not_delivering,880,actions:post_engagement,0.01790909,20,Diario,15.76,12173,9821,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-31T09:27:00-0500,-,-,-,"[Depilé] 5. Obj - Interacción FB - [Educativo]- Octubre 2025 - Copia 3",1.294669,1.239487,84
2025-10-01,2025-10-31,"[Depilé] 24/10/2024 [2] [Post diseño] FB [La vida ya trae suficientes complicaciones…]",not_delivering,437,actions:post_engagement,0.03306636,20,Diario,14.45,7310,6343,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-31T09:26:53-0500,-,-,-,"[Depilé] 5. Obj Interacción IG - Octubre 2025",1.976744,1.152452,
2025-10-01,2025-10-31,"[Depilé] 27/10/2024 [2] [Post diseño] FB [El truco más dulce es tener la piel lista en pocos minutos 😉]",not_delivering,3210,actions:post_engagement,0.0044486,20,Diario,14.28,9683,8882,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-31T09:26:48-0500,-,-,-,"[Depilé] 6. Obj Interacción IG - Octubre 2025 - Copia",1.47475,1.090182,
2025-10-01,2025-10-31,"[Depilé] 27/10/2024 [2] [Post diseño] FB [El truco más dulce es tener la piel lista en pocos minutos 😉]",not_delivering,6955,actions:post_engagement,0.00216247,20,Diario,15.04,10604,10177,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-31T09:26:42-0500,-,-,-,"[Depilé] 6. Obj - Interacción FB - [Educativo]- Octubre 2025 - Copia 4",1.418333,1.041957,
2025-10-01,2025-10-31,"[Depilé] 29/10/2024 [2] [Post secuencia] FB [Deja el miedo para la noche de Halloween, no para tu rutina de depilación 🎃💆‍♀️]",not_delivering,1010,actions:post_engagement,0.01041584,20,Diario,10.52,15536,14942,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-31T09:26:36-0500,-,-,-,"[Depilé] 7. Obj - Interacción FB - [Educativo]- Octubre 2025 - Copia 5",0.677137,1.039754,1
2025-10-01,2025-10-31,"[Depilé] 3/10/2024 [1] [Post secuencia] FB [No solo se trata de quitar el vello, sino de cuidar tu piel para que luzca increíble siempre.]",not_delivering,887,actions:post_engagement,0.0167982,20,Diario,14.9,25559,20470,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-31T09:27:31-0500,-,-,-,"[Depilé] 1. Obj - Interacción FB - [Educativo]- Octubre 2025 - Copia",0.582965,1.248608,21
2025-10-01,2025-10-31,"[Depilé] 22/10/2024 [2] [Post diseño] FB [⚠️ El error que muchos chicos comenten: depilarse antes de entrenar.]",not_delivering,213,actions:post_engagement,0.06657277,20,Diario,14.18,3045,2717,2025-10-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-31T09:27:19-0500,-,-,-,"[Depilé] 4. Obj Interacción IG - Octubre 2025 - Copia 2",4.656814,1.120721,16
