"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","CPM (costo por mil impresiones) (USD)",Frecuencia,"Clics en el enlace"
2025-11-01,2025-11-30,"[Depilé] 3/11/2024 [Post Secuencia] IG [Todos hemos cometido el error #2 😅.]",not_delivering,427,actions:post_engagement,0.01782201,1,Diario,7.61,3772,3017,2025-11-30,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,-,-,-,"[Depilé] 1. Obj Interacción IG - Nov 2025",2.017497,1.250249,30
2025-11-01,2025-11-30,"[Depilé] 3/11/2024 [Post Secuencia] FB [Todos hemos cometido el error #2 😅.]",not_delivering,3036,actions:post_engagement,0.00250988,1,Diario,7.62,19783,16387,2025-11-30,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-05T10:31:02-0500,-,-,-,"[Depilé] 1. Obj Interacción FB - Nov 2025",0.385179,1.207237,194
2025-11-01,2025-11-30,"Depilé - Video 1",inactive,23276,reach,0.48418972,55,Total,11.27,23759,23276,2025-11-19,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-16T15:14:40-0500,-,-,-,"[Depilé] Intriga -  Videos",0.474347,1.020751,
2025-11-01,2025-11-30,"Depilé - Video 2",inactive,20453,reach,0.58524422,55,Total,11.97,20668,20453,2025-11-19,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-16T15:14:40-0500,-,-,-,"[Depilé] Intriga -  Videos",0.579156,1.010512,
2025-11-01,2025-11-30,"Depilé - Video 3",inactive,27968,reach,0.52488558,55,Total,14.68,27968,27968,2025-11-19,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-16T15:14:40-0500,-,-,-,"[Depilé] Intriga -  Videos",0.524886,1,
2025-11-01,2025-11-30,"Depilé - Video 4",inactive,15015,reach,0.52214452,55,Total,7.84,15469,15015,2025-11-19,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-16T15:14:40-0500,-,-,-,"[Depilé] Intriga -  Videos",0.50682,1.030236,
2025-11-01,2025-11-30,"Depilé - Video 5",inactive,10538,reach,0.39001708,55,Total,4.11,10602,10538,2025-11-19,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-16T15:14:40-0500,-,-,-,"[Depilé] Intriga -  Videos",0.387663,1.006073,1
2025-11-01,2025-11-30,"Depilé - Video 6",not_delivering,10482,reach,0.48941042,55,Total,5.13,10877,10482,2025-11-19,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-16T15:14:40-0500,-,-,-,"[Depilé] Intriga -  Videos",0.471637,1.037684,
2025-11-01,2025-11-30,"[Depilé] 19/11/2025",not_delivering,287606,reach,0.54279118,3900,Total,156.11,343171,287606,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-20T09:40:28-0500,-,-,-,"[Depilé] Video Madre 9:16 - IG - 32 seg",0.454904,1.193198,
2025-11-01,2025-11-30,"[Depilé] 19/11/2025 - FB",not_delivering,98329,reach,0.39744124,550,Total,39.08,118122,98329,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-20T09:40:42-0500,-,-,-,"[Depilé] Video Madre 9:16 - FB- 32 seg",0.330844,1.201294,105
