"Inicio del informe","Fin del informe","Nombre de la campaña","Entrega de la campaña",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)",Impresiones,Alcance,Finalización,"Configuración de atribución","CPM (costo por mil impresiones) (USD)",Frecuencia,"Clics en el enlace"
2025-11-01,2025-11-30,"Depile - Día de la madre",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,"En curso","7 días tras clic o 1 día tras visualización",0,0,
2025-11-01,2025-11-30,"[Depilé] Obj. Ventas - Depicare - Septiembre 2025",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,2025-10-31,"Configuración de atribución múltiple",0,0,
2025-11-01,2025-11-30,"[Depilé] Obj. Ventas - Depicare - Septiembre 2025 - Copia",inactive,,,,100,Total,0,0,0,2025-10-31,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,0,
2025-11-01,2025-11-30,"[Depilé] Obj - Interacción - Octubre 2025",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,2025-10-31,"7 días tras clic o 1 día tras visualización",0,0,
2025-11-01,2025-11-30,"[Depilé] Obj - Interacción - Octubre 2025 - Copia",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,2025-10-31,"7 días tras clic o 1 día tras visualización",0,0,
2025-11-01,2025-11-30,"[Depilé] Obj - Interacción - Noviembre 2025",inactive,3463,actions:post_engagement,0.00439792,"Con el presupuesto del conjunto de anuncios",0,15.23,23555,19399,2025-11-30,"7 días tras clic o 1 día tras visualización",0.646572,1.214238,224
2025-11-01,2025-11-30,"[Depilé] Objt. Reconocimiento - Depilé Glow - Intriga",inactive,106112,reach,0.51832027,"Con el presupuesto del conjunto de anuncios",0,55,109343,106112,2025-11-19,"7 días tras clic o 1 día tras visualización",0.503004,1.030449,1
2025-11-01,2025-11-30,"[Depilé] Obj.Ventas - Registros - Investigación",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,525.2,277517,125261,"En curso","Configuración de atribución múltiple",1.892497,2.21551,2100
2025-11-01,2025-11-30,"[Depilé] Obj.Reconocimiento - Video Madre - 32 seg",inactive,378948,reach,0.51508386,"Con el presupuesto del conjunto de anuncios",0,195.19,461293,378948,2026-03-31,"7 días tras clic o 1 día tras visualización",0.423137,1.217299,105
2025-11-01,2025-11-30,"[Depilé] Obj.Interacción - Depilé Glow - Piezas estáticas",not_delivering,3680,actions:post_engagement,0.02684511,"Con el presupuesto del conjunto de anuncios",0,98.79,49326,25316,"En curso","7 días tras clic o 1 día tras visualización",2.002798,1.948412,247
