"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","CPM (costo por mil impresiones) (USD)",Frecuencia,"Clics en el enlace"
2025-12-01,2025-12-31,"[Depilé] 19/11/2025",not_delivering,434115,reach,0.56180966,3900,Total,243.89,641067,434115,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-20T09:40:28-0500,-,-,-,"[Depilé] Video Madre 9:16 - IG - 32 seg",0.380444,1.476722,
2025-12-01,2025-12-31,"[Depilé] 19/11/2025 - FB",not_delivering,161691,reach,0.37664434,550,Total,60.9,208908,161691,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-20T09:40:42-0500,-,-,-,"[Depilé] Video Madre 9:16 - FB- 32 seg",0.291516,1.29202,161
2025-12-01,2025-12-31,"[Depilé] 1 - Post estático - 22/11/25",not_delivering,1125,actions:post_engagement,0.05472889,3,Diario,61.57,15917,11771,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-12-15T17:21:38-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG - 1",3.868191,1.352222,128
2025-12-01,2025-12-31,"[Depilé] 1 - Post estático - 22/11/25 - FB",not_delivering,2722,actions:post_engagement,0.0271014,3,Diario,73.77,101437,51069,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-12-15T17:22:25-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas -FB - 1",0.727249,1.986273,645
2025-12-01,2025-12-31,"[Depilé] 2 - Post estático - 24/11/25 - FB",not_delivering,4256,actions:post_engagement,0.01792293,3,Diario,76.28,50861,27028,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-12-15T17:20:05-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas -FB - 2",1.499774,1.881789,362
2025-12-01,2025-12-31,"[Depilé] Post estático - 24/11 - IG",not_delivering,2192,actions:post_engagement,0.03319799,3,Diario,72.77,25564,12133,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-12-15T17:19:24-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG - 2",2.846581,2.106981,3
2025-12-01,2025-12-31,"[Depilé] Post estático - 29/11  - 13/12 - IG",not_delivering,1406,actions:post_engagement,0.04590327,3,Diario,64.54,17194,11548,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-12-15T17:18:02-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG - 3",3.753635,1.488916,157
2025-12-01,2025-12-31,"[Depilé] 2 - Carrusel- 29/11/25 - 13/ 12- FB",not_delivering,2896,actions:post_engagement,0.02552486,3,Diario,73.92,84800,47813,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-12-15T17:18:51-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas -FB - 3",0.871698,1.773576,407
2025-12-01,2025-12-31,"[Depilé] 4 - Carrusel- 30/11/25 - FB",not_delivering,6363,actions:post_engagement,0.01581958,3,Diario,100.66,89142,41934,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-12-03T17:44:20-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas -FB - 4",1.12921,2.125769,1004
2025-12-01,2025-12-31,"[Depilé] Post estático - 30/11 - IG",not_delivering,2594,actions:post_engagement,0.03670008,3,Diario,95.2,38185,22291,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG - 4",2.493126,1.713023,280
