Ad name,Primary status,Secondary status,Ad group ID,Ad group name,Ad ID,Cost,CPC (destination),CPM,Impressions,Clicks (destination),CTR (destination),Conversions,Conversions [SAN],Cost per conversion,Cost per conversion [SAN],"Conversion rate (CVR, clicks) [SAN]",Conversion rate (CVR),Conversion rate (CVR) [SAN],Results,Cost per result,Result rate,Deep funnel result,Cost per deep funnel result,Deep funnel result rate,Secondary source,Primary source,Attribution source,Currency
Nombre del anuncio2026-02-22 16:46:18,Paused,Campaign paused;  ; Ad completed,1855565492091905,Videos,1857863528184881,0.00,0.00,0.00,0,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",0,0.00000,"0,00%",-,-,-,TikTok account,Your own content,-,USD
Nombre del anuncio2026-02-18 18:59:44,Paused,Campaign paused;  ; Ad completed,1855565492091905,Videos,1857509535294593,0.00,0.00,0.00,0,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",0,0.00000,"0,00%",-,-,-,TikTok account,Your own content,-,USD
Nombre del anuncio2026-02-18 18:59:44,Paused,Campaign paused;  ; Ad completed,1855565492091905,Videos,1857509535644865,0.00,0.00,0.00,0,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",0,0.00000,"0,00%",-,-,-,TikTok account,Your own content,-,USD
Nombre del anuncio2026-02-13 16:44:46,Paused,Campaign paused;  ; Ad completed,1855565492091905,Videos,1857048055804978,0.00,0.00,0.00,0,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",0,0.00000,"0,00%",-,-,-,TikTok account,Your own content,-,USD
Nombre del anuncio2026-02-13 16:44:46,Paused,Campaign paused;  ; Ad completed,1855565492091905,Videos,1857048055807106,0.00,0.00,0.00,0,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",0,0.00000,"0,00%",-,-,-,TikTok account,Your own content,-,USD
Nombre del anuncio2026-02-11 10:28:50,Paused,Campaign paused;  ; Ad completed,1855565492091905,Videos,1856843154239586,0.00,0.00,0.00,0,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",0,0.00000,"0,00%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-01-28 08:01:59,Paused,Campaign paused;  ; Ad completed,1855565492091905,Videos,1855565562905809,37.54,0.00,0.18,211220,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",32786,0.00115,"15,52%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-01-28 08:02:00,Paused,Campaign paused;  ; Ad completed,1855565492091905,Videos,1855565598182514,24.10,0.00,0.27,89604,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",7012,0.00344,"7,83%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-01-28 08:02:00,Paused,Campaign paused;  ; Ad completed,1855565492091905,Videos,1855565598183490,20.41,0.00,0.28,72589,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",4717,0.00433,"6,50%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-01-28 08:02:00,Paused,Campaign paused;  ; Ad completed,1855565492091905,Videos,1855565598183506,17.95,0.00,0.27,66877,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",4390,0.00409,"6,56%",-,-,-,TikTok account,Your own content,-,USD
