"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","CPM (costo por mil impresiones) (USD)",Frecuencia,"Clics en el enlace"
2026-01-01,2026-01-31,"[Depilé] 19/11/2025",not_delivering,1884823,reach,0.55203592,3900,Total,1040.49,2725930,1884823,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-20T09:40:28-0500,-,-,-,"[Depilé] Video Madre 9:16 - IG - 32 seg",0.381701,1.446253,17
2026-01-01,2026-01-31,"[Depilé] 19/11/2025 - FB",not_delivering,478053,reach,0.28620258,550,Total,136.82,597069,478053,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-20T09:40:42-0500,-,-,-,"[Depilé] Video Madre 9:16 - FB- 32 seg",0.229153,1.24896,600
2026-01-01,2026-01-31,"[Depilé] 1 - Post estático - 22/11/25 - FB",not_delivering,260,actions:post_engagement,0.01742308,3,Diario,4.53,14122,11742,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-12-15T17:22:25-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas -FB - 1",0.320776,1.202691,75
2026-01-01,2026-01-31,"[Depilé] 2 - Post estático - 24/11/25 - FB",not_delivering,369,actions:post_engagement,0.01227642,3,Diario,4.53,5146,4236,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-12-15T17:20:05-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas -FB - 2",0.880295,1.214825,29
2026-01-01,2026-01-31,"[Depilé] Post estático - 24/11 - IG",not_delivering,222,actions:post_engagement,0.01981982,3,Diario,4.4,2596,2141,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-12-15T17:19:24-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG - 2",1.694915,1.212518,
2026-01-01,2026-01-31,"[Depilé] Post estático - 29/11  - 13/12 - IG",not_delivering,196,actions:post_engagement,0.02729592,3,Diario,5.35,1910,1666,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-12-15T17:18:02-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG - 3",2.801047,1.146459,27
2026-01-01,2026-01-31,"[Depilé] 2 - Carrusel- 29/11/25 - 13/ 12- FB",not_delivering,252,actions:post_engagement,0.01777778,3,Diario,4.48,12477,10579,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-12-15T17:18:51-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas -FB - 3",0.359061,1.179412,81
2026-01-01,2026-01-31,"[Depilé] 4 - Carrusel- 30/11/25 - FB",not_delivering,516,actions:post_engagement,0.00893411,3,Diario,4.61,7606,6427,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-12-03T17:44:20-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas -FB - 4",0.6061,1.183445,111
2026-01-01,2026-01-31,"[Depilé] Post estático - 30/11 - IG",not_delivering,219,actions:post_engagement,0.02091324,3,Diario,4.58,3134,2959,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG - 4",1.461391,1.059142,30
2026-01-01,2026-01-31,"[Depilé] Post estático - 11/11 - IG",not_delivering,199,actions:post_engagement,0.0278392,3,Diario,5.54,2303,2062,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG - 5",2.405558,1.116877,30
2026-01-01,2026-01-31,"[Depilé] 5 - Carrusel- 11/11/25 - FB",not_delivering,257,actions:post_engagement,0.01789883,3,Diario,4.6,13196,11900,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-12-11T17:11:06-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas -FB - 5",0.34859,1.108908,77
2026-01-01,2026-01-31,"[Depilé] 7 - Video  19/12  - FB",not_delivering,28637,actions:post_engagement,0.00201592,3,Diario,57.73,87688,44869,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-12-19T12:58:06-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas -FB - 7",0.658357,1.954311,172
2026-01-01,2026-01-31,Sorteo,not_delivering,628946,reach,0.15834428,150,Total,99.59,680339,628946,2026-01-14,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-02T10:27:47-0500,-,-,-,"[Depilé] Sorteo",0.146383,1.081713,77
2026-01-01,2026-01-31,"[Depilé] Video- 27/12 - IG - 8",not_delivering,931,actions:post_engagement,0.03314715,3,Diario,30.86,7617,4231,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-12T15:35:43-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG - 8",4.051464,1.800284,1
