Ad name,Primary status,Secondary status,Ad group ID,Ad group name,Ad ID,Cost,CPC (destination),CPM,Impressions,Clicks (destination),CTR (destination),Conversions,Conversions [SAN],Cost per conversion,Cost per conversion [SAN],"Conversion rate (CVR, clicks) [SAN]",Conversion rate (CVR),Conversion rate (CVR) [SAN],Results,Cost per result,Result rate,Deep funnel result,Cost per deep funnel result,Deep funnel result rate,Secondary source,Primary source,Attribution source,Currency
Nombre del anuncio2026-02-22 16:46:18,Paused,Campaign paused;  ; Ad completed,1855565492091905,Videos,1857863528184881,24.37,0.00,0.24,101163,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",20881,0.00117,"20,64%",-,-,-,TikTok account,Your own content,-,USD
Nombre del anuncio2026-02-18 18:59:44,Paused,Campaign paused;  ; Ad completed,1855565492091905,Videos,1857509535294593,0.51,0.00,0.14,3664,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",232,0.00220,"6,33%",-,-,-,TikTok account,Your own content,-,USD
Nombre del anuncio2026-02-18 18:59:44,Paused,Campaign paused;  ; Ad completed,1855565492091905,Videos,1857509535644865,24.05,0.00,0.22,111825,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",12537,0.00192,"11,21%",-,-,-,TikTok account,Your own content,-,USD
Nombre del anuncio2026-02-13 16:44:46,Paused,Campaign paused;  ; Ad completed,1855565492091905,Videos,1857048055804978,12.93,0.00,0.28,46192,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",4941,0.00262,"10,70%",-,-,-,TikTok account,Your own content,-,USD
Nombre del anuncio2026-02-13 16:44:46,Paused,Campaign paused;  ; Ad completed,1855565492091905,Videos,1857048055807106,21.34,0.00,0.25,85318,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",10324,0.00207,"12,10%",-,-,-,TikTok account,Your own content,-,USD
Nombre del anuncio2026-02-11 10:28:50,Paused,Campaign paused;  ; Ad completed,1855565492091905,Videos,1856843154239586,16.76,0.00,0.25,66774,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",4771,0.00351,"7,14%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-01-28 08:01:59,Paused,Campaign paused;  ; Ad completed,1855565492091905,Videos,1855565562905809,0.00,0.00,0.00,0,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",0,0.00000,"0,00%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-01-28 08:02:00,Paused,Campaign paused;  ; Ad completed,1855565492091905,Videos,1855565598182514,0.00,0.00,0.00,0,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",0,0.00000,"0,00%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-01-28 08:02:00,Paused,Campaign paused;  ; Ad completed,1855565492091905,Videos,1855565598183490,0.00,0.00,0.00,0,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",0,0.00000,"0,00%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-01-28 08:02:00,Paused,Campaign paused;  ; Ad completed,1855565492091905,Videos,1855565598183506,0.00,0.00,0.00,0,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",0,0.00000,"0,00%",-,-,-,TikTok account,Your own content,-,USD
Video Madre,Paused,Campaign paused; Ad completed,1849273735695506,Video Madre - 16-9,1849273826645041,411.89,0.00,0.25,1615344,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",105817,0.00389,"6,55%",-,-,-,TikTok account,Your own content,-,USD
Total of 11 results,-,-,-,-,-,511.85,0.00,0.25,2030280,0,"0,00%",0,-,0.00,-,-,"0,00%",-,-,-,-,-,-,-,-,-,-,USD
