"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","CPM (costo por mil impresiones) (USD)",Frecuencia,"Clics en el enlace"
2026-02-01,2026-02-28,"[Depilé] 19/11/2025",not_delivering,2501869,reach,0.54339776,3900,Total,1359.51,3496008,2501869,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-20T09:40:28-0500,-,-,-,"[Depilé] Video Madre 9:16 - IG - 32 seg",0.388875,1.397359,121
2026-02-01,2026-02-28,"[Depilé] 19/11/2025 - FB",not_delivering,328840,reach,0.34424036,550,Total,113.2,356563,328840,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-20T09:40:42-0500,-,-,-,"[Depilé] Video Madre 9:16 - FB- 32 seg",0.317475,1.084305,551
2026-02-01,2026-02-28,"Video 15 segundos",not_delivering,62287,video_thruplay_watched_actions,0.00241704,500,Total,150.55,69945,13248,2026-02-28,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-03T10:50:11-0500,-,-,-,"[Depilé] Video 15 segundos",2.152405,5.279665,203
2026-02-01,2026-02-28,"[Depilé] 19/11/2025 - Seguidores",not_delivering,241745,reach,0.58160458,300,Total,140.6,254594,241745,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-06T05:52:21-0500,"Por debajo del promedio - 35% de los anuncios menos relevantes",-,-,"[Depilé] Video Madre 9:16 - IG - 32 seg - Seguidores",0.552252,1.053151,7
2026-02-01,2026-02-28,"[Depilé] Video-18/01 - IG",not_delivering,1003,actions:post_engagement,0.03010967,3,Diario,30.2,12374,7081,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG -16",2.440601,1.747493,116
2026-02-01,2026-02-28,"[Depilé] Video-19/01 - IG",not_delivering,58604,actions:post_engagement,0.00123865,3,Diario,72.59,117170,97883,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-26T20:11:47-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG -17",0.619527,1.197041,
2026-02-01,2026-02-28,"[Depilé] Video-27/01 - IG",not_delivering,157401,actions:post_engagement,0.00197254,10,Diario,310.48,486263,348109,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-29T08:33:13-0500,"Por debajo del promedio - 35% de los anuncios menos relevantes",Promedio,"Por encima del promedio","[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG -18",0.638502,1.39687,3
2026-02-01,2026-02-28,"[Depilé] Video-04/02 - IG",not_delivering,501,actions:post_engagement,0.03812375,3,Diario,19.1,10181,5302,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG -19",1.876044,1.920219,142
2026-02-01,2026-02-28,"[Depilé] Video-04/02 - IG - 2",not_delivering,20879,actions:post_engagement,0.00269888,3,Diario,56.35,45054,33570,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-11T12:00:59-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG -20",1.250721,1.342091,
2026-02-01,2026-02-28,"[Depilé] Video-06/02 - IG",not_delivering,586,actions:post_engagement,0.04728669,3,Diario,27.71,3498,2168,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-11T12:02:13-0500,"Por debajo del promedio - 35% de los anuncios menos relevantes",Promedio,"Por debajo del promedio - 35% de los anuncios menos relevantes","[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG -21",7.92167,1.613469,24
2026-02-01,2026-02-28,"[Depilé] Video- 18/01 - FB",not_delivering,1171,actions:post_engagement,0.03366354,3,Diario,39.42,13675,6643,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-11T12:11:23-0500,"Por debajo del promedio - 35% de los anuncios menos relevantes",Promedio,Promedio,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - FB -16",2.882633,2.058558,68
2026-02-01,2026-02-28,"[Depilé] Video- 19/01 - FB",not_delivering,44089,actions:post_engagement,0.00142235,3,Diario,62.71,91059,77185,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-11T12:15:20-0500,Promedio,Promedio,"Por encima del promedio","[Depilé] Depilé Glow - Piezas estáticas y dinámicas - FB -17",0.688674,1.17975,42
2026-02-01,2026-02-28,"[Depilé] Video- 28/01 - FB",not_delivering,25274,actions:post_engagement,0.00243017,3,Diario,61.42,82957,74755,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-11T12:16:39-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - FB -18",0.740384,1.109718,1
2026-02-01,2026-02-28,"[Depilé] Video- 04/02 - Fb",not_delivering,899,actions:post_engagement,0.04291435,3,Diario,38.58,6618,3907,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-11T12:22:55-0500,"Por debajo del promedio - 35% de los anuncios menos relevantes",Promedio,Promedio,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - FB -19",5.829556,1.693883,46
2026-02-01,2026-02-28,"[Depilé] Video- 04/02 - Fb - 2",not_delivering,20413,actions:post_engagement,0.00265762,3,Diario,54.25,41611,33643,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-11T12:24:03-0500,"Por debajo del promedio - 35% de los anuncios menos relevantes",Promedio,"Por encima del promedio","[Depilé] Depilé Glow - Piezas estáticas y dinámicas - FB -20",1.303742,1.23684,49
2026-02-01,2026-02-28,"[Depilé] Video- 06/02 - Fb",not_delivering,604,actions:post_engagement,0.04764901,3,Diario,28.78,3365,2089,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-11T12:25:01-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - FB -21",8.552749,1.610819,32
2026-02-01,2026-02-28,"[Depilé] Video-15/02 - IG",not_delivering,11678,actions:post_engagement,0.0025989,3,Diario,30.35,23851,19835,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-20T02:45:22-0500,"Por debajo del promedio - 35% de los anuncios menos relevantes",Promedio,"Por encima del promedio","[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG -22",1.272483,1.20247,1
2026-02-01,2026-02-28,"[Depilé] Video-16/02 - IG",not_delivering,11305,actions:post_engagement,0.00261123,3,Diario,29.52,34212,28271,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-20T02:47:46-0500,Promedio,Promedio,"Por encima del promedio","[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG -23",0.862855,1.210145,19
2026-02-01,2026-02-28,"[Depilé] Video-19/02 - IG",not_delivering,16750,actions:post_engagement,0.00182567,3,Diario,30.58,40355,34089,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-20T02:49:05-0500,Promedio,Promedio,"Por encima del promedio","[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG -24",0.757775,1.183813,
