Ad name,Primary status,Secondary status,Ad group ID,Ad group name,Ad ID,Cost,CPC (destination),CPM,Impressions,Clicks (destination),CTR (destination),Conversions,Conversions [SAN],Cost per conversion,Cost per conversion [SAN],"Conversion rate (CVR, clicks) [SAN]",Conversion rate (CVR),Conversion rate (CVR) [SAN],Results,Cost per result,Result rate,Deep funnel result,Cost per deep funnel result,Deep funnel result rate,Secondary source,Primary source,Attribution source,Currency
Ad name2026-03-31 10:58:48,Ended,Ad completed,1859128135589074,[Depile] Interacción,1861193545421842,6.74,0.00,1.66,4056,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",67,0.10,"1,65%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-03-31 10:58:58,Ended,Ad completed,1859128135589074,[Depile] Interacción,1861193784054945,4.12,0.00,1.41,2925,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",12,0.34,"0,41%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-03-25 18:44:09,Paused, ; Ad completed,1859128135589074,[Depile] Interacción,1860679356893426,191.22,0.00,1.20,159511,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",554,0.35,"0,35%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-03-18 12:44:35,Paused, ; Ad completed,1859128135589074,[Depile] Interacción,1860022657765441,252.92,0.00,1.14,220983,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",565,0.45,"0,26%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-03-16 15:21:02,Ended,Ad completed,1859128135589074,[Depile] Interacción,1859851279371474,24.47,0.00,0.84,29064,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",53,0.46,"0,18%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-03-16 15:22:00,Paused, ; Ad completed,1859128135589074,[Depile] Interacción,1859851360819329,42.48,0.00,1.04,40917,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",125,0.34,"0,31%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-03-13 10:45:35,Paused, ; Ad completed,1859128135589074,[Depile] Interacción,1859561826660385,99.08,0.00,0.94,105195,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",278,0.36,"0,26%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-03-11 11:25:56,Paused, ; Ad completed,1859128135589074,[Depile] Interacción,1859383534056786,69.42,0.00,1.10,62852,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",253,0.27,"0,40%",-,-,-,TikTok account,Your own content,-,USD
Depilé ,Paused, ; Ad completed,1859128135589074,[Depile] Interacción,1859128080386114,15.15,0.00,1.27,11893,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",45,0.34,"0,38%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-03-08 16:00:33,Paused, ; Ad completed,1859128135589074,[Depile] Interacción,1859129023663153,50.41,0.00,1.30,38824,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",208,0.24,"0,54%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-03-08 16:00:33,Paused, ; Ad completed,1859128135589074,[Depile] Interacción,1859129023665153,26.68,0.00,1.17,22727,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",97,0.28,"0,43%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-03-08 16:00:33,Ended,Ad completed,1859128135589074,[Depile] Interacción,1859129023665169,22.60,0.00,0.78,28883,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",31,0.73,"0,11%",-,-,-,TikTok account,Your own content,-,USD
Video Madre,Paused,Campaign paused; Ad completed,1849273735695506,Video Madre - 16-9,1849273826645041,264.00,0.00,0.26,1012821,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",57075,0.00463,"5,64%",-,-,-,TikTok account,Your own content,-,USD
Total of 13 results,-,-,-,-,-,1069.29,0.00,0.61,1740651,0,"0,00%",0,-,0.00,-,-,"0,00%",-,-,-,-,-,-,-,-,-,-,USD
