"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","CPM (costo por mil impresiones) (USD)",Frecuencia,"Clics en el enlace"
2026-03-01,2026-03-31,"[Depilé] Video- 04/02 - Fb",not_delivering,387,actions:post_engagement,0.02943152,3,Diario,11.39,3516,2472,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-11T12:22:55-0500,Promedio,"Por debajo del promedio - 35% de los anuncios menos relevantes",Promedio,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - FB -19",3.239477,1.42233,18
2026-03-01,2026-03-31,"[Depilé] Video-16/02 - IG",not_delivering,7474,actions:post_engagement,0.00224244,3,Diario,16.76,20280,18304,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-20T02:47:46-0500,Promedio,"Por debajo del promedio - 35% de los anuncios menos relevantes","Por encima del promedio","[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG -23",0.82643,1.107955,12
2026-03-01,2026-03-31,"[Depile] Depilé Glow - 04/03 - Post-No es magia, es nuestra fórm",inactive,18,actions:post_engagement,0.01722222,15,Diario,0.31,157,139,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T11:27:18-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG",1.974522,1.129496,2
2026-03-01,2026-03-31,"[Depile] Depilé Glow - 10/03 - Hay demasiados rumores sobre",inactive,17574,actions:post_engagement,0.00198361,15,Diario,34.86,51942,48164,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T11:27:18-0500,"Por encima del promedio","Por debajo del promedio - 35% de los anuncios menos relevantes","Por encima del promedio","[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG",0.671133,1.07844,148
2026-03-01,2026-03-31,"[Depile] Depilé Glow - 07/03 - Este post es un recordatorio suave para que hoy hagas una pausa 💖✨ No para cumplir co",inactive,107,actions:post_engagement,0.0211215,15,Diario,2.26,870,792,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T11:27:18-0500,"Por encima del promedio","Por debajo del promedio - 35% de los anuncios menos relevantes",Promedio,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG",2.597701,1.098485,2
2026-03-01,2026-03-31,"[Depile] Depilé Glow - 06/03 - Que este 8M sea el recordatorio de que la protagonista de tu vida eres tú. ✨ Ríete fuerte. ✨ Ponte lo que quieras. ✨ Ocupa espacio. ✨ Disfruta tu piel. #Depilé #DepiléGlow #8M #DiaDeLaMujer #MainCharacterEnergy #BrillaParaTi #8M #DepiléGlow #SelfLove #Empoderamiento #GlowUpInternal #Protagonista",inactive,194,actions:post_engagement,0.01958763,15,Diario,3.8,2004,1799,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T11:27:18-0500,"Por encima del promedio","Por debajo del promedio - 35% de los anuncios menos relevantes",Promedio,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG",1.896208,1.113952,25
2026-03-01,2026-03-31,"[Depile] Depilé Glow - 27/02 - Reel -Nada se siente mejor que una p",inactive,10102,actions:post_engagement,0.00221243,15,Diario,22.35,22579,21572,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T11:27:18-0500,Promedio,Promedio,"Por encima del promedio","[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG",0.989858,1.046681,48
2026-03-01,2026-03-31,"[Depilé] Depilé Glow - 12/03 - Reel - Esperar a que crezca? 📏✨",inactive,15665,actions:post_engagement,0.00242898,15,Diario,38.05,55397,50869,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T11:27:18-0500,Promedio,Promedio,"Por encima del promedio","[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG",0.68686,1.089013,
2026-03-01,2026-03-31,"[Depilé] 14/03 - Reel - Lo quieres, lo tienes. (Y sin sa",inactive,2280,actions:post_engagement,0.00912281,5,Diario,20.8,8637,2300,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-14T01:43:52-0500,"Por debajo del promedio - 35% de los anuncios menos relevantes","Por debajo del promedio - 20% de los anuncios menos relevantes",Promedio,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - Seguidores",2.408244,3.755217,
2026-03-01,2026-03-31,"[Depilé] Depilé Glow -  14/03 - Lo quieres, lo tienes. (Y sin sa",inactive,22371,actions:post_engagement,0.00298511,15,Diario,66.78,79372,55461,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T11:27:18-0500,Promedio,"Por debajo del promedio - 35% de los anuncios menos relevantes","Por encima del promedio","[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG",0.841355,1.431132,
