"ID de comentario","ID de usuario","Nombre de usuario","Apodo","Comentario","Hora de comentar","Digg Count","Author Digged","Conteo de respuestas","Fijado en la parte superior","Página de inicio del usuario"
"=""7600845497871368981""","=""7096759568177316865""","roncal_sarita","❤️ RONCAL🥰","díganme si ya está en los supermercados, ?","29/1/2026, 19:02:39","0","No","1","No","https://www.tiktok.com/@roncal_sarita"
"=""7604635538897044245""","=""7262217758799725573""","jenifer.alva8","Jen Alva 🎀🍒","donde lo compro","9/2/2026, 0:10:07","1","Sí","1","No","https://www.tiktok.com/@jenifer.alva8"
"=""7574958526783587088""","=""80400133623844864""","stefany_whittembury","Stefany Whittembury","ME ENCANTAAAAAAA","21/11/2025, 0:48:11","3","Sí","1","No","https://www.tiktok.com/@stefany_whittembury"
"=""7602823699813204744""","=""6944464005704926213""","jc_am13","jc_am13","yo uso depile y no sabía que había una nueva línea lo comprare 🥰🥰","4/2/2026, 2:59:14","1","Sí","1","No","https://www.tiktok.com/@jc_am13"
"=""7596101070645003025""","=""7466096735321998354""","kimberly0632_","Kim🐣🤎","que hermoso y lo comprare","17/1/2026, 0:13:58","1","Sí","1","No","https://www.tiktok.com/@kimberly0632_"
"=""7603141670343525140""","=""7398693481978004485""","melhdk1","@melhdk✨️","no lo use y ya amo este producto","4/2/2026, 23:33:16","1","Sí","0","No","https://www.tiktok.com/@melhdk1"
"=""7596457386044228360""","=""7293280991384568837""","ana_cris2410","ana.cris","amooooo ❤️","17/1/2026, 23:14:47","2","Sí","1","No","https://www.tiktok.com/@ana_cris2410"
"=""7600813866918265621""","=""7136357266584175622""","vero_4809","𝑽","la primera vez que usé me salió como espinillas en la zona que me eche","29/1/2026, 17:01:22","1","No","1","No","https://www.tiktok.com/@vero_4809"
"=""7600862884944085780""","=""7583510121470379064""","mar_l0ooove_ice","🌷˚⊹𐙚˚Mar˚⊹𐙚🌷","Hola buenas tardes compré uno hace un tiempo el de manzanilla me limpié la cara y me la sequé muy bien no sé qué me pasó pero me empezó a arder demasiado fuerte el bigote y dije hay es normal se quitó todo pero estuve hinchada y roja","29/1/2026, 20:10:12","9","No","4","No","https://www.tiktok.com/@mar_l0ooove_ice"
"=""7600573173310931720""","=""7501915439956018183""","user2447299190986","lola","🥰","29/1/2026, 1:26:07","1","Sí","0","No","https://www.tiktok.com/@user2447299190986"
"=""7595741329772053269""","=""7025608874183230470""","guillerh188","Guille RH188","😁","16/1/2026, 0:56:11","1","Sí","0","No","https://www.tiktok.com/@guillerh188"
"=""7601213767456277268""","=""6910583973417731074""","santiago.chinin","Santiago Chinin","🙏🙏","30/1/2026, 18:51:45","0","No","0","No","https://www.tiktok.com/@santiago.chinin"
"=""7601163723717985042""","=""7004603600048014341""","marianyirujanoo","marianyirujanoo","me irritó y mancho la piel de mi rostro use la de piel sensible 😫","30/1/2026, 15:37:32","0","No","1","No","https://www.tiktok.com/@marianyirujanoo"
