platform,post_id,post_content,userName,text,date
tiktok,7611577833311210769,Se filtro la reunion de tus pies,armandomejiawriter,Gracioso necesito con quien correr,2026/03/03
tiktok,7611577833311210769,Se filtro la reunion de tus pies,luis.ysla12,Jajaja que buena,2026/03/02
tiktok,7611577833311210769,Se filtro la reunion de tus pies,bladimir.manuel7,deberian enfocarse en los que usamos zapatos de seguridad todo el santo dia esos pies sudan probare esto a ver que tal me resulta,2026/03/02
tiktok,7611577833311210769,Se filtro la reunion de tus pies,nikibuitrago,genial siempre Isana para refrescar mis pies,2026/02/28
tiktok,7611577833311210769,Se filtro la reunion de tus pies,bladimir.manuel7,jajajaja,2026/03/02
tiktok,7611577833311210769,Se filtro la reunion de tus pies,ronaldpontex,Yo tambien quiero,2026/03/04
tiktok,7613161410482228481,Reunion emergencia pies,bartolome064,emojis_risa,2026/03/16
tiktok,7614298578659331344,8M mujeres todoterreno,mama.mirella,lo maximo!!!,2026/03/12
tiktok,7614298578659331344,8M mujeres todoterreno,mafer2746,primeraa,2026/03/08
tiktok,7616796114997497089,Talco medias regreso clases,sofia.zevallos55,SIIII ESE TALCO ES EL MEJOR,2026/03/18
tiktok,7616796114997497089,Talco medias regreso clases,cl4rabustios,El mejor talco,2026/03/18
tiktok,7616796114997497089,Talco medias regreso clases,jhouna.on,Obvio el mejor,2026/03/18
tiktok,7616796114997497089,Talco medias regreso clases,nicoedu_2012,Isana...estas en la cima,2026/03/17
tiktok,7617997742291406081,Diario sobreviviente,gato_gosh,lo puedo conseguir en peru,2026/03/19
tiktok,7617997742291406081,Diario sobreviviente,pati.pami92,El pie tiene pies,2026/03/19
tiktok,7617997742291406081,Diario sobreviviente,stefano6195,tremendo,2026/03/20
tiktok,7617997742291406081,Diario sobreviviente,stiven_rodrigo,Los pies de Joel gonsales agradeciendo a isana,2026/03/19
tiktok,7619102013183331600,Zapatillas y Limpieza,mary28_51,ola buenas dias donde esta para comprar,2026/03/26
tiktok,7620936225859390737,Guia calzados,ana_navii,donde lo compro,2026/03/26
tiktok,7620936225859390737,Guia calzados,damaris_iop,Para q es ?,2026/03/26
tiktok,7621252393115700481,Sudor bacteria,sxmilck,Me dio ternura la gotita de sudor,2026/03/27
tiktok,7622000923342064897,Michi y Isana,aldana.y.adrin.ch,XD AJJAJAJAAJAJAJAJAJ,2026/04/02
tiktok,7622000923342064897,Michi y Isana,trllgetuktirey7q,jajajaja,2026/04/01
tiktok,7623490653321710865,Feriado largo guia definitiva,yoryibg,yo estoy protegido con mi Isana no me debo preocupar,2026/04/01
instagram,DVTk43NDL_Q,Se filtro la reunion de tus pies,francyazid,xd,2026/02/28
instagram,DVTk43NDL_Q,Se filtro la reunion de tus pies,olayasedesurco,emoji_risa,2026/03/04
instagram,DVTk43NDL_Q,Se filtro la reunion de tus pies,jeimypazc,No me puedo creer que vi una publicidad completa,2026/03/10
instagram,DVTk43NDL_Q,Se filtro la reunion de tus pies,rozzita_ad,Jajaja que buen comercial,2026/03/10
instagram,DVTk43NDL_Q,Se filtro la reunion de tus pies,paaul.tor,para terminar hubieran puesto un pastor Aleman para que siga corriendo,2026/03/10
instagram,DVTk43NDL_Q,Se filtro la reunion de tus pies,marianagrx_,Por eso siempre uso isana,2026/03/11
instagram,DVTk43NDL_Q,Se filtro la reunion de tus pies,alipale30,emoji_risa,2026/03/12
instagram,DVTk43NDL_Q,Se filtro la reunion de tus pies,zandromedaa,Jajajaja precisa,2026/03/12
instagram,DVTk43NDL_Q,Se filtro la reunion de tus pies,jackrobertjeremy,Buena publicidad,2026/03/12
instagram,DVTk43NDL_Q,Se filtro la reunion de tus pies,allangov23,Jajaja Buena,2026/03/12
instagram,DVTk43NDL_Q,Se filtro la reunion de tus pies,ml_daviddavila,jajajaja,2026/03/13
instagram,DVRNu0zDaTy,Spray vs Talco medias,kaledgp_,Pensaba que hablaban de una media crocante,2026/03/11
instagram,DVRNu0zDaTy,Spray vs Talco medias,panchinete,el olor a talco tambien lo asocio con la gente que les huelen los pies,2026/03/11
instagram,DVRNu0zDaTy,Spray vs Talco medias,luisgonzales_gt,Si lo guardaron casi nuevo sera por algo no?,2026/03/11
instagram,DVRNu0zDaTy,Spray vs Talco medias,fer_chavez16_,Muy bueno salvador de vida mas rapido y mejor,2026/03/13
instagram,DVRNu0zDaTy,Spray vs Talco medias,alessandrx_sc,anda!!! Y los que huelen a desodorante,2026/03/14
