"Nombre de la campaña","Entrega","Importe gastado (USD)","Interacciones","Impresiones","Alcance","Reacciones","Comentarios","Guardados","Compartidos","Clics enlace","Likes FB","Follows IG","CPC (USD)","Video 75%","Video 50%","Video 25%","Video 95%","Video 100%","Inicio","Fin","Objetivo"
"ISANA - Día de la madre","inactive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-05-12","En curso","Interacción"
"[Isana] Obj. Interacción - Diciembre 2025","inactive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2025-12-05","2026-01-31","Interacción"
"[Isana] Obj. Interacción - Enero 2026","inactive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-01-06","2026-02-01","Interacción"
"[ISANA] Investigación - Enero 2026","inactive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-01-21","2026-02-04","Tráfico"
"[OPI] - Investigación de mercado","inactive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-01-30","2026-02-07","Tráfico"
"[Isana] Obj. Interacción - Febrero 2026","inactive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-02-02","2026-02-28","Interacción"
"[Isana] Obj.Interacciones - Marzo 2026","inactive",1463.71,1370197,2331709,1274853,13670,103,894,808,1712,5,15,0.854971,415348,612896,910116,200498,137473,"2026-03-10","2026-04-03","Interacción"
"ISANA - Sorteo","inactive",10.9,37,75863,72585,9,0,0,1,0,0,0,0,1,1,10,1,1,"2026-03-22","En curso","Reconocimiento"
"ISANA - Sorteo - Copia","inactive",379.75,11393,394099,213794,8981,799,61,109,42,168,43,9.041667,0,0,0,0,0,"2026-03-22","En curso","Interacción"
"[ISANA] - Interacciones - Abril 2026","not_delivering",14.11,7013,18473,16952,251,2,4,3,14,0,0,1.007857,749,1412,2400,492,350,"2026-03-31","2026-04-07","Interacción"
