Ad name,Primary status,Ad group name,Cost,CPM,Impressions,Results,Cost per result,Result rate,Currency
"Reproduccion 1","Paused","Isana Reproducciones",0.11,0.15,737,75,0.00147,"10.18%",USD
"Reproduccion 2","Paused","Isana Reproducciones",0.52,0.19,2776,269,0.00193,"9.69%",USD
"Reproduccion 3","Paused","Isana Reproducciones",6.29,0.28,22871,3384,0.00186,"14.80%",USD
"Reproduccion 4","Paused","Isana Reproducciones",8.39,0.32,26040,4464,0.00188,"17.14%",USD
"Reproduccion 5","Paused","Isana Reproducciones",68.95,0.27,254108,37065,0.00186,"14.59%",USD
"Reproduccion 6","Paused","Isana Reproducciones",88.95,0.30,297578,51238,0.00174,"17.22%",USD
"Reproduccion 7","Paused","Isana Reproducciones",35.91,0.24,152411,31101,0.00115,"20.41%",USD
"Reproduccion 8","Paused","Isana Reproducciones",14.04,0.25,55814,9636,0.00146,"17.26%",USD
"Reproduccion 9","Paused","Isana Reproducciones",29.84,0.22,133212,23295,0.00128,"17.49%",USD
"Reproduccion 10","Paused","Isana Reproducciones",13.28,0.23,56892,9152,0.00145,"16.09%",USD
"Reproduccion 11","Paused","Isana Reproducciones",62.98,0.25,250922,82681,0.00076,"32.95%",USD
"Reproduccion 12","Paused","Isana Reproducciones",35.18,0.28,127474,21206,0.00166,"16.64%",USD
"Reproduccion 13","Paused","Isana Reproducciones",95.03,0.25,382308,85142,0.00112,"22.27%",USD
"Reproduccion 14","Paused","Isana Reproducciones",3.27,0.17,18728,1544,0.00212,"8.24%",USD
"Reproduccion 15","Paused","Isana Reproducciones",0.50,0.09,5292,382,0.00131,"7.22%",USD
"Reproduccion 16","Paused","Isana Reproducciones",60.43,0.29,210199,54573,0.00111,"25.96%",USD
"Reproduccion 17","Paused","Isana Reproducciones",1.08,0.13,8287,762,0.00142,"9.20%",USD
"Reproduccion 18","Paused","Isana Reproducciones",0.62,0.09,7183,377,0.00164,"5.25%",USD
"Reproduccion 19","Paused","Isana Reproducciones",83.69,0.32,260035,45667,0.00183,"17.56%",USD
"Followers 1","Paused","Folowers - Marzo",38.72,0.66,58512,67,0.58,"0.11%",USD
"Followers 2","Paused","Folowers - Marzo",4.30,0.57,7530,4,1.07,"0.05%",USD
"Video Views 1","Paused","Video views",30.91,0.25,124044,34329,0.00090,"27.67%",USD
"Video Views 2","Paused","Video views",0.06,0.19,318,44,0.00136,"13.84%",USD
"Video Views 3","Paused","Video views",24.11,0.20,120873,37438,0.00064,"30.97%",USD
"Video Views 4","Paused","Video views",0.01,0.07,139,8,0.00125,"5.76%",USD
"TOTAL","-","-",707.17,0.27,2584283,533903,"-","-",USD
